smiles,molecular_weight,logP,hydrogen_bond_acceptors,hydrogen_bond_donors,Lipinski,QED,stereo_centers,tpsa,AMES,BBB_Martins,Bioavailability_Ma,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Substrate_CarbonMangels,CYP2C9_Veith,CYP2D6_Substrate_CarbonMangels,CYP2D6_Veith,CYP3A4_Substrate_CarbonMangels,CYP3A4_Veith,Carcinogens_Lagunin,ClinTox,DILI,HIA_Hou,NR-AR-LBD,NR-AR,NR-AhR,NR-Aromatase,NR-ER-LBD,NR-ER,NR-PPAR-gamma,PAMPA_NCATS,Pgp_Broccatelli,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,Skin_Reaction,hERG,Caco2_Wang,Clearance_Hepatocyte_AZ,Clearance_Microsome_AZ,Half_Life_Obach,HydrationFreeEnergy_FreeSolv,LD50_Zhu,Lipophilicity_AstraZeneca,PPBR_AZ,Solubility_AqSolDB,VDss_Lombardo,molecular_weight_drugbank_approved_percentile,logP_drugbank_approved_percentile,hydrogen_bond_acceptors_drugbank_approved_percentile,hydrogen_bond_donors_drugbank_approved_percentile,Lipinski_drugbank_approved_percentile,QED_drugbank_approved_percentile,stereo_centers_drugbank_approved_percentile,tpsa_drugbank_approved_percentile,AMES_drugbank_approved_percentile,BBB_Martins_drugbank_approved_percentile,Bioavailability_Ma_drugbank_approved_percentile,CYP1A2_Veith_drugbank_approved_percentile,CYP2C19_Veith_drugbank_approved_percentile,CYP2C9_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2C9_Veith_drugbank_approved_percentile,CYP2D6_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2D6_Veith_drugbank_approved_percentile,CYP3A4_Substrate_CarbonMangels_drugbank_approved_percentile,CYP3A4_Veith_drugbank_approved_percentile,Carcinogens_Lagunin_drugbank_approved_percentile,ClinTox_drugbank_approved_percentile,DILI_drugbank_approved_percentile,HIA_Hou_drugbank_approved_percentile,NR-AR-LBD_drugbank_approved_percentile,NR-AR_drugbank_approved_percentile,NR-AhR_drugbank_approved_percentile,NR-Aromatase_drugbank_approved_percentile,NR-ER-LBD_drugbank_approved_percentile,NR-ER_drugbank_approved_percentile,NR-PPAR-gamma_drugbank_approved_percentile,PAMPA_NCATS_drugbank_approved_percentile,Pgp_Broccatelli_drugbank_approved_percentile,SR-ARE_drugbank_approved_percentile,SR-ATAD5_drugbank_approved_percentile,SR-HSE_drugbank_approved_percentile,SR-MMP_drugbank_approved_percentile,SR-p53_drugbank_approved_percentile,Skin_Reaction_drugbank_approved_percentile,hERG_drugbank_approved_percentile,Caco2_Wang_drugbank_approved_percentile,Clearance_Hepatocyte_AZ_drugbank_approved_percentile,Clearance_Microsome_AZ_drugbank_approved_percentile,Half_Life_Obach_drugbank_approved_percentile,HydrationFreeEnergy_FreeSolv_drugbank_approved_percentile,LD50_Zhu_drugbank_approved_percentile,Lipophilicity_AstraZeneca_drugbank_approved_percentile,PPBR_AZ_drugbank_approved_percentile,Solubility_AqSolDB_drugbank_approved_percentile,VDss_Lombardo_drugbank_approved_percentile
ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1,412.94600000000014,3.809000000000002,5,1,4.0,0.7074872979003035,0,48.47,0.35825176239013673,0.9745341062545776,0.6472095012664795,0.5970241129398346,0.6748032927513122,0.2241113990545273,0.2707987368106842,0.5183846354484558,0.7061325073242187,0.7814369440078736,0.6509694695472718,0.2576146811246872,0.6418876111507416,0.8579233765602112,0.9983601570129395,0.04595627337694168,0.04009412713348866,0.5598659992218018,0.23718056380748748,0.05024948231875896,0.10974214971065521,0.028691814094781876,0.917586350440979,0.7743535280227661,0.7152793049812317,0.03176399627700448,0.09064335376024246,0.22462474256753923,0.3201518446207047,0.4454166114330292,0.9255202531814575,-4.961893831418375,46.52015935411963,55.00835438435888,42.34011970125219,-11.17878642512248,2.8434482623304147,3.0947268912214314,103.05999302314645,-4.59528005518776,-1.7972855426220486,68.20473051570376,74.2535866614967,59.1120589375727,36.68088406359054,63.80379992245056,76.11477316789453,22.489336952307095,29.662659945715394,72.54749903063203,83.52074447460255,29.778984102365257,85.9635517642497,90.34509499806126,66.49864288483909,80.88406359053897,86.9716944552152,90.5389685924777,85.3043815432338,85.14928266770066,66.96393951143854,95.65723148507173,77.08414113997674,60.566110895696006,83.36564559906941,67.54556029468786,93.95114385420706,87.82473827064753,76.92904226444358,59.82939123691353,76.69639395114385,70.88018611865064,87.08801861186507,93.36952307095774,74.68010856921288,83.63706863125242,74.33113609926328,91.15936409461031,52.15199689802249,89.84102365257851,51.29895308259015,59.20899573478092,80.34121752617293,83.714618069019,34.58704924389298,70.49243892981775,82.66770065917022,94.64908879410623,20.473051570376114,22.877084141139974
CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,260.381,2.845700000000001,2,1,4.0,0.8173315946878695,0,32.34,0.2872857883572578,0.9931077480316162,0.7888142585754394,0.043852152302861214,0.04138577729463577,0.10874362960457802,0.005330596957355738,0.5210157990455627,0.4261539191007614,0.44986546635627744,0.0012988806702196598,0.2530470624566078,0.37315409928560256,0.1210195392370224,0.9836978435516357,0.011333635356277228,0.03497856892645359,0.03794611617922783,0.004082070267759264,0.004110427992418409,0.0776021309196949,0.0009691318824479822,0.7734423637390136,0.022172192484140395,0.07135001793503762,0.005726618878543377,0.003880775929428637,0.008504304429516196,0.029932205379009248,0.8775012850761413,0.7697770357131958,-4.5939422888192025,42.89434897299763,22.42441890949288,53.726609210498154,-9.028088922657549,2.83976932881313,0.8479302602666581,45.8981532372466,-2.2692983208257496,8.018520557627173,29.89530825901512,59.557968204730514,16.38231872818922,36.68088406359054,63.80379992245056,91.1981388134936,22.489336952307095,16.362931368747574,64.87010469174098,93.75727025979062,49.01124466847615,50.4846839860411,35.01357115160915,38.54207056998837,23.070957735556416,87.20434276851492,83.67584335013571,46.99495928654517,19.077161690577743,66.49864288483909,81.03916246607211,23.342380767739435,37.65025203567274,51.337727801473434,63.35789065529275,56.57231485071733,28.770841411399765,18.766963939511438,44.086855370298565,25.358666149670412,51.647925552539746,32.880961613028305,36.91353237689027,47.80922838309422,25.86273749515316,32.06669251647926,55.83559519193486,91.58588600232648,76.38619620007755,74.17603722373012,56.22334238076774,55.331523846452114,88.13493602171384,56.533540131834044,70.25979061651803,39.860411012020165,19.232260566110895,64.79255525397441,87.12679333074836
CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(F)C=C3)=C1C,398.48200000000014,3.3349400000000013,3,3,4.0,0.6263032743124629,0,77.23,0.824532437324524,0.9477871537208558,0.8696355581283569,0.5137694478034973,0.14233944863080977,0.14689018651843072,0.050484780594706534,0.3842101633548737,0.5850329339504242,0.6541121065616607,0.2988911271095276,0.4827371001243591,0.7444677650928497,0.7179584085941315,0.9932967782020569,0.0275902409106493,0.019694033078849316,0.41399001479148867,0.03580224215984344,0.012444151751697063,0.04632673002779484,0.0031406175694428384,0.8509591937065124,0.6600301027297973,0.09798967763781548,0.05986671224236488,0.018516161106526853,0.11382700204849243,0.11052238121628762,0.4882645845413208,0.9373551487922669,-5.0746219666426,2.3318956578887606,28.710156705158646,168.05375265694494,-12.748965464997465,3.443756342717511,2.4686147811533994,78.87961775590725,-3.53191069664672,29.427436811800398,65.02520356727413,66.80884063590538,31.17487398216363,77.25862737495153,63.80379992245056,64.13338503295851,22.489336952307095,51.60915083365646,95.15316013958899,75.84335013571152,64.8313299728577,83.21054672353625,55.75804575416828,49.86428848390849,53.97440868553703,79.41062427297402,87.82473827064753,67.46801085692128,72.39240015509887,87.66963939511439,98.21636293136875,65.68437378829003,45.48274525009693,74.83520744474602,44.35827840248158,90.77161690577744,55.56417215975184,41.023652578518806,23.924001550988756,42.45831717720046,59.67429236138038,82.31872818922062,43.58278402481582,82.0860798759209,56.18456766188445,65.4517254749903,76.65761923226056,56.61108956960062,91.54711128344319,44.16440480806514,16.595579682047305,60.566110895696006,98.56533540131834,22.489336952307095,91.58588600232648,69.40674680108569,55.21519968980225,40.558355951919346,99.03063202791779
O\N=C1\C(\NC2=C\1C=CC=C2)=C1\C(=O)NC2=C1C=CC=C2,277.283,2.6538000000000004,4,3,4.0,0.3935462415947194,0,73.72,0.5641278088092804,0.7818973302841187,0.771576875448227,0.9580502986907959,0.49813136756420134,0.23182555958628653,0.5995338261127472,0.12846331000328065,0.12024450078606605,0.5845531165599823,0.5632935285568237,0.2529052197933197,0.039840776845812796,0.9512829065322876,0.9996037960052491,0.04486482469365001,0.033830215130001305,0.854100513458252,0.20462474822998047,0.04469463163986802,0.29056800305843355,0.08337912075221539,0.9104471325874328,0.2659442812204361,0.7600075721740722,0.14722379446029663,0.2901144355535507,0.9399056077003479,0.45786752700805666,0.9309674739837647,0.6697998464107513,-4.647313820394911,28.43279584964152,17.48675269210716,90.59911007803063,-9.661807536469814,2.6033475906292476,3.1043866472454296,91.23361464489125,-6.227456620147805,-5.779294487037068,34.00542846064366,56.3396665374176,46.47150058162078,77.25862737495153,63.80379992245056,33.11360992632803,22.489336952307095,48.62349747964327,86.19620007754943,54.129507561070184,46.10314075222954,97.3633191159364,83.83094222566886,68.20473051570376,92.71035284994184,55.292749127568825,65.33540131834044,58.82124854594804,82.55137650252036,66.42109344707251,31.678945327646375,89.37572702597906,74.87398216362931,83.01667312911981,62.427297402093835,98.60411012020163,85.80845288871656,74.17603722373012,87.90228770841411,89.49205118262893,68.98022489336952,64.55990694067468,94.7654129507561,91.54711128344319,94.4552151996898,98.75920899573478,94.80418766963939,95.73478092283831,70.76386196200077,70.88018611865064,42.3419930205506,49.70918960837534,94.88173710740597,49.90306320279178,55.06010081426909,82.82279953470336,75.84335013571152,3.8774718883288095,6.475378053509112
[H]N1C(=O)C(CC2=CC=C(C=C2)N2CCN(CC2)C=O)C2=CC=CC=C12,335.40700000000004,2.2433999999999994,3,1,4.0,0.8720996397714569,1,52.650000000000006,0.17696333229541777,0.965613853931427,0.6291130840778351,0.1303681790828705,0.624178808927536,0.4984409213066101,0.36706463396549227,0.3785500884056091,0.05216021277010441,0.7257793307304382,0.30211526453495025,0.13529188111424445,0.153567636013031,0.7664096355438232,0.9968234777450562,0.030402711033821105,0.09843985959887505,0.2326970726251602,0.051337207481265065,0.012390135880559682,0.16992441862821578,0.04253632575273514,0.8433775901794434,0.3541295349597931,0.538097208738327,0.07119132354855537,0.0684441614896059,0.21295573711395263,0.2143726259469986,0.4819085121154785,0.698408591747284,-4.819594155067643,55.919964593309956,24.409977135553866,-5.991758831062008,-10.680165797752801,2.4298488163234437,2.069189351407169,81.77922905297518,-3.6826380835888566,-7.457790101090525,50.36835982939124,49.05001938735944,31.17487398216363,36.68088406359054,63.80379992245056,97.16944552151996,54.80806514152772,32.60953858084529,48.46839860411012,80.4187669639395,28.383094222566886,63.86196200077549,88.67778208607987,93.09810003877472,85.57580457541683,79.25552539744086,51.26017836370686,76.69639395114385,72.58627374951531,46.02559131446297,60.83753392787902,68.98022489336952,53.39278790228771,76.5412950756107,86.19620007754943,83.94726638231873,61.41915471112834,40.82977898410236,74.56378441256301,81.81465684373788,58.86002326483133,68.90267545560295,85.9635517642497,84.49011244668476,79.64327258627375,73.63319115936409,86.46762310973246,55.951919348584724,72.12097712291586,59.90694067468011,67.23536254362156,56.96006203955021,26.09538580845289,39.62776269872043,43.466459868165956,61.45792943001163,58.86002326483133,37.84412563008918,3.4897246994959286
O=C1NC2=CC=CC=C2C1=O,147.13299999999995,0.8213999999999999,2,1,4.0,0.5520289490055337,0,46.17,0.6769159197807312,0.9750317931175232,0.956497311592102,0.9603185534477234,0.06510514691472054,0.21259444802999497,0.05387622490525246,0.13540070727467537,0.14874718189239503,0.4491324186325073,0.0963357374072075,0.081940209120512,0.03969807773828506,0.9828185200691223,0.9999852180480957,0.02449682801961899,0.028266914188861847,0.8726467490196228,0.010035417787730695,0.0017619204008951783,0.04433608166873455,0.007996317395009101,0.9537469863891601,0.025889605283737183,0.526975828409195,0.038325253129005435,0.03214730694890022,0.6011538505554199,0.23162766098976134,0.8970388770103455,0.08496029675006866,-4.042103337959334,57.518340125153806,38.239453584940556,-3.255510985615549,-11.109182021744619,2.2992245643990654,1.5573510948044422,63.115991186428005,-2.580613491442169,-8.752391019710437,8.956960062039549,30.864676231097324,16.38231872818922,36.68088406359054,63.80379992245056,54.788677782086076,22.489336952307095,27.21985265606824,91.46956184567662,83.67584335013571,91.74098487785963,97.47964327258627,42.303218301667314,64.4823575029081,54.827452500969365,56.76618844513377,68.94145017448623,46.9174098487786,54.90500193873594,31.834044203179527,31.562621170996508,97.98371461806902,95.69600620395502,71.57813105854983,56.61108956960062,98.79798371461807,38.07677394338891,9.228383094222567,22.56688639007367,57.46413338503296,81.15548662272198,34.43195036835983,85.26560682435053,77.04536642109345,67.0802636680884,89.10430399379604,87.43699108181465,93.02055060100814,27.723924001550987,98.10003877471888,68.86390073671966,69.3679720822024,30.593253198914308,35.09112058937573,35.67274137262505,51.57037611477317,34.74214811942613,59.2865451725475,1.9387359441644048
[H]N1C(=O)\C(C2=C1C=CC(=C2)S(O)(=O)=O)=C1/N([H])C2=CC=CC=C2C1=O,342.33200000000005,1.9049,5,3,4.0,0.5388973544891925,0,112.57,0.5490612864494324,0.5434620320796967,0.8192778944969177,0.2764301061630249,0.04179193377494812,0.21198863312602043,0.05902119316160679,0.04332965072244406,0.04718520697206259,0.22168729305267335,0.011811020784080029,0.7107444167137146,0.2756135955452919,0.9819355607032776,0.9548323512077331,0.04482110012322664,0.026441397331655025,0.3312541924417019,0.013899985514581204,0.004544689180329442,0.050626394152641294,0.0029267583042383192,0.5074676156044007,0.0957707181572914,0.26035896092653277,0.012697342690080405,0.022478271182626484,0.4258249640464783,0.15234015733003617,0.5335980832576752,0.12229045480489731,-4.834157802731932,23.590886659409087,11.979321009353836,245.53483930399585,-12.10986857490067,2.2617863653099826,1.4295665432638331,92.08538725522321,-4.540681681982322,-1.4466829998305655,52.19077161690578,44.241954245831714,59.1120589375727,77.25862737495153,63.80379992245056,52.53974408685537,22.489336952307095,74.17603722373012,85.69212873206669,33.2299340829779,53.97440868553703,74.79643272586273,35.129895308259016,64.4823575029081,56.3396665374176,30.593253198914308,49.437766576192324,25.823962776269873,34.044203179526946,96.00620395502132,74.40868553702985,97.82861574253586,30.981000387747187,82.97789841023652,53.625436215587435,88.25126017836371,41.91547111283443,20.78324932144242,27.181077937184956,41.217526172935244,34.509499806126406,50.756107018224114,67.19658782473827,59.82939123691353,59.40286932919736,82.78402481582009,81.11671190383869,61.186506397828616,32.95851105079488,58.86002326483133,36.370686312524235,42.53586661496704,99.61225281116711,26.987204342768514,33.57890655292749,49.360217138425746,77.31678945327646,21.55874369910818,25.358666149670412
COC1=CC(OC)=C(\C=C2\C(=O)NC3=CC=CC=C23)C(OC)=C1,311.33700000000005,3.2051000000000016,4,1,4.0,0.8810126211958613,0,56.790000000000006,0.8067535281181335,0.9381673455238342,0.9424391150474548,0.977927851676941,0.7381250858306885,0.37891911864280703,0.37507493495941163,0.46018850803375244,0.13710915446281433,0.7790021538734436,0.8849377751350402,0.12272253185510636,0.05175041519105435,0.9740788340568542,0.9999315619468689,0.016447818372398615,0.05188209153711796,0.9288751482963562,0.383054618537426,0.027433345094323158,0.19521625339984894,0.03703299835324288,0.98819580078125,0.4539263010025024,0.7224836230278016,0.45205957889556886,0.10546055734157563,0.7306763887405395,0.46890527606010435,0.5573166668415069,0.8662745237350464,-4.438114605108923,81.748369397164,47.30905083170385,19.761107079648905,-9.763450401446885,2.4083309567448987,3.2127245329799257,90.69797317444588,-5.596052077262724,-7.391977529126443,44.048080651415276,64.90887941062427,46.47150058162078,36.68088406359054,63.80379992245056,97.90616518030244,22.489336952307095,35.129895308259016,94.80418766963939,73.82706475378053,87.24311748739821,98.48778596355176,92.47770453664211,85.88600232648314,86.00232648313299,83.67584335013571,67.66188445133773,84.91663435440093,94.4552151996898,43.466459868165956,37.14618069018999,95.85110507948818,87.32066692516479,61.26405583559519,74.2535866614967,99.30205506010081,94.14501744862349,62.427297402093835,79.37184955409073,79.99224505622334,96.31640170608763,73.36176812718108,93.67972082202404,98.33268708801862,85.45948041876696,93.05932531989143,95.1143854207057,62.93136874757658,83.32687088018612,84.25746413338503,83.32687088018612,75.68825126017836,66.92516479255525,48.933695230709574,42.303218301667314,85.07173322993408,74.6025591314463,7.871267933307483,3.5284994183792167
COC1=CC=C2NC(=O)\C(=C/C3=CN=CN3)C2=C1,241.25000000000003,1.9109999999999996,3,2,4.0,0.7890978640626071,0,67.00999999999999,0.8262765169143677,0.7697298407554627,0.8668672800064087,0.9848886013031006,0.4081824466586113,0.19180524796247483,0.23341934531927108,0.19076122641563414,0.33286272585391996,0.3950335144996643,0.8519412040710449,0.019210962671786548,0.027801654860377313,0.9718954205513001,0.9999886512756347,0.006215994647936896,0.010596137400716544,0.972651994228363,0.28116114288568494,0.020263235783204436,0.20601482093334197,0.012442775908857584,0.8949553370475769,0.12640759125351905,0.4269653707742691,0.39060539603233335,0.1421634465456009,0.5698035001754761,0.3207657128572464,0.6383088529109955,0.6557886242866516,-4.526119027229179,33.69881667517747,20.66753743694776,-24.910936156326848,-15.492130546902718,2.4171837056285947,2.550098280279408,92.21172088870162,-4.592434116210253,-7.578286409331855,24.89336952307096,44.31950368359829,31.17487398216363,60.85692128732067,63.80379992245056,87.35944164404808,22.489336952307095,44.55215199689802,95.23070957735555,52.966265994571536,63.97828615742536,98.83675843350136,79.25552539744086,60.2559131446297,78.36370686312524,64.8313299728577,80.18611865063978,41.48894920511826,92.8266770065917,8.33656455990694,24.544397053121365,94.95928654517255,96.47150058162077,36.7972082202404,26.405583559519194,99.72857696781698,89.95734780922838,53.7417603722373,80.72896471500582,64.09461031407523,66.18844513377277,54.245831717720044,79.52694842962389,97.86739046141915,88.79410624272974,87.9410624272974,91.1981388134936,70.0271423032183,70.29856533540132,78.79022877084141,47.576580069794495,53.586661496704146,5.5060100814269095,8.1426909654905,42.884839084916635,71.3454827452501,77.5106630476929,20.589375727025978,3.4121752617293524
O\N=C1\C(\NC2=C\1C=CC=C2)=C1\C(=O)NC2=CC(Br)=CC=C12,356.17900000000003,3.4163000000000006,4,3,4.0,0.38477623939536587,0,73.72,0.525509712100029,0.8508136034011841,0.7774301588535308,0.9803696155548096,0.7346197903156281,0.23085039258003234,0.7557080268859864,0.1302027940750122,0.2275311380624771,0.6279823184013367,0.7617837429046631,0.32542506158351897,0.048317400924861434,0.9632623076438904,0.9998473644256591,0.042912246007472274,0.022688339464366436,0.8911097645759583,0.23896876573562623,0.02995771784335375,0.230469186604023,0.15200829207897187,0.9183594703674316,0.5763110816478729,0.849239957332611,0.14652788043022155,0.46818333864212036,0.949936592578888,0.5615158915519715,0.9196104764938354,0.758300244808197,-4.686324570743307,34.218904327884374,30.400372955017126,117.35115800701007,-9.793521641001883,2.9145787937545244,3.579462511971409,100.57248256491381,-6.513186971923318,-6.4978143552770975,54.90500193873594,68.24350523458705,46.47150058162078,77.25862737495153,63.80379992245056,31.95036835982939,22.489336952307095,48.62349747964327,84.41256300891818,61.53547886777821,47.2276075998449,98.64288483908491,92.43892981775882,67.89453276463746,95.7735556417216,55.71927103528499,75.33927879022878,63.93951143854207,89.53082590151222,75.06785575804575,35.284994183792165,92.63280341217526,82.90034897246994,82.62892594028693,48.778596355176425,98.91430787126794,87.86351298953082,64.71500581620784,83.44319503683599,93.75727025979062,70.95773555641722,78.94532764637457,97.28576967816983,91.54711128344319,96.82047305157037,98.83675843350136,97.13067080263667,94.7654129507561,75.72702597906165,68.08840635905389,48.08065141527724,62.19464908879411,96.85924777045366,48.58472276075998,74.56378441256301,90.77161690577744,91.81853431562621,2.520356727413726,4.963164017060876
