smiles,molecular_weight,logP,hydrogen_bond_acceptors,hydrogen_bond_donors,Lipinski,QED,stereo_centers,tpsa,AMES,BBB_Martins,Bioavailability_Ma,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Substrate_CarbonMangels,CYP2C9_Veith,CYP2D6_Substrate_CarbonMangels,CYP2D6_Veith,CYP3A4_Substrate_CarbonMangels,CYP3A4_Veith,Carcinogens_Lagunin,ClinTox,DILI,HIA_Hou,NR-AR-LBD,NR-AR,NR-AhR,NR-Aromatase,NR-ER-LBD,NR-ER,NR-PPAR-gamma,PAMPA_NCATS,Pgp_Broccatelli,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,Skin_Reaction,hERG,Caco2_Wang,Clearance_Hepatocyte_AZ,Clearance_Microsome_AZ,Half_Life_Obach,HydrationFreeEnergy_FreeSolv,LD50_Zhu,Lipophilicity_AstraZeneca,PPBR_AZ,Solubility_AqSolDB,VDss_Lombardo,molecular_weight_drugbank_approved_percentile,logP_drugbank_approved_percentile,hydrogen_bond_acceptors_drugbank_approved_percentile,hydrogen_bond_donors_drugbank_approved_percentile,Lipinski_drugbank_approved_percentile,QED_drugbank_approved_percentile,stereo_centers_drugbank_approved_percentile,tpsa_drugbank_approved_percentile,AMES_drugbank_approved_percentile,BBB_Martins_drugbank_approved_percentile,Bioavailability_Ma_drugbank_approved_percentile,CYP1A2_Veith_drugbank_approved_percentile,CYP2C19_Veith_drugbank_approved_percentile,CYP2C9_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2C9_Veith_drugbank_approved_percentile,CYP2D6_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2D6_Veith_drugbank_approved_percentile,CYP3A4_Substrate_CarbonMangels_drugbank_approved_percentile,CYP3A4_Veith_drugbank_approved_percentile,Carcinogens_Lagunin_drugbank_approved_percentile,ClinTox_drugbank_approved_percentile,DILI_drugbank_approved_percentile,HIA_Hou_drugbank_approved_percentile,NR-AR-LBD_drugbank_approved_percentile,NR-AR_drugbank_approved_percentile,NR-AhR_drugbank_approved_percentile,NR-Aromatase_drugbank_approved_percentile,NR-ER-LBD_drugbank_approved_percentile,NR-ER_drugbank_approved_percentile,NR-PPAR-gamma_drugbank_approved_percentile,PAMPA_NCATS_drugbank_approved_percentile,Pgp_Broccatelli_drugbank_approved_percentile,SR-ARE_drugbank_approved_percentile,SR-ATAD5_drugbank_approved_percentile,SR-HSE_drugbank_approved_percentile,SR-MMP_drugbank_approved_percentile,SR-p53_drugbank_approved_percentile,Skin_Reaction_drugbank_approved_percentile,hERG_drugbank_approved_percentile,Caco2_Wang_drugbank_approved_percentile,Clearance_Hepatocyte_AZ_drugbank_approved_percentile,Clearance_Microsome_AZ_drugbank_approved_percentile,Half_Life_Obach_drugbank_approved_percentile,HydrationFreeEnergy_FreeSolv_drugbank_approved_percentile,LD50_Zhu_drugbank_approved_percentile,Lipophilicity_AstraZeneca_drugbank_approved_percentile,PPBR_AZ_drugbank_approved_percentile,Solubility_AqSolDB_drugbank_approved_percentile,VDss_Lombardo_drugbank_approved_percentile,PAINS
CC\C(=C(\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,268.356,4.828600000000005,2,2,4.0,0.7796984854737203,0,40.46,0.1293759919703006,0.1159721761941909,0.2505366034805775,0.902299702167511,0.8924766659736634,0.1970118373632431,0.8943803548812866,0.0715620882809162,0.2146938815712928,0.7684256196022033,0.7952154517173767,0.3907506264746189,0.0037863311590626,0.4603631019592285,0.999731695652008,0.0076709087472409,0.0121842058375477,0.1819077789783477,0.6960724115371704,0.9250551223754884,0.91235089302063,0.2628598481416702,0.8461187958717347,0.0500322099775075,0.9584410071372986,0.1609582357108593,0.8986024141311646,0.9968224883079528,0.8638010621070862,0.9564123511314392,0.4368381261825561,-4.799237660562948,113.5784237505779,76.71958336636253,-25.01964350431509,-7.373724537799663,1.8197153314858827,4.305748559631023,97.92694513279262,-4.510839976028291,4.309976522941949,31.98914307871268,87.12679333074836,16.38231872818922,60.85692128732067,63.80379992245056,86.11865063978286,22.48933695230709,23.070957735556416,39.860411012020165,7.405971306708026,6.087630864676231,95.30825901512212,96.47150058162076,61.5742535866615,98.17758821248546,41.023652578518806,74.6025591314463,83.63706863125242,90.5389685924777,81.7371074059713,6.824350523458705,51.803024428072895,77.85963551764249,41.25630089181853,29.740209383481968,80.22489336952307,99.06940674680108,99.3408297789841,98.6816595579682,96.62659945715392,59.17022101589763,42.6521907716169,99.41837921675068,92.28383094222566,99.72857696781698,100.0,99.92245056223342,97.75106630476928,60.566110895696006,61.341605273361765,93.95114385420706,89.80224893369522,5.5060100814269095,72.31485071733229,13.454827452500968,97.32454439705312,87.70841411399768,22.256688639007365,70.45366421093446,[]
COC1=CC=C(C=C1)C(Cl)=C(C1=CC=C(OC)C=C1)C1=CC=C(OC)C=C1,380.8710000000001,5.867800000000005,3,0,3.0,0.5005017670153243,0,27.69,0.163778268545866,0.1682928264141082,0.7971365690231323,0.2074408568441867,0.6439366340637207,0.3557345241308212,0.3874392658472061,0.1624954909086227,0.0403986502438783,0.7845359802246094,0.571139645576477,0.5046640157699585,0.0146629745140671,0.7731247305870056,0.9956427931785584,0.0049914375413209,0.0055444411933422,0.1527384083718061,0.3529246151447296,0.1766850113868713,0.3406483113765716,0.0692480020225048,0.8216462016105652,0.5664070188999176,0.6294875681400299,0.0197669869288802,0.2742856919765472,0.6459250211715698,0.2083791553974151,0.3369764566421508,0.7762194514274597,-4.8132301566896185,90.50658288676809,37.63830894038826,15.433316813869675,-5.3861698571749015,1.912225998998127,4.1153824340089376,99.24114734095988,-6.882363084617767,5.994465654451056,60.79875920899573,93.52462194649088,31.17487398216363,11.768127181077936,20.918960837533927,46.99495928654517,22.48933695230709,13.861962000775494,46.37456378441256,11.050794881737108,50.44590926715781,70.29856533540132,89.10430399379604,83.98604110120202,86.46762310973246,60.72120977122916,47.38270647537805,85.69212873206669,82.82279953470336,88.9104303993796,15.238464521132222,69.48429623885227,49.78673904614192,31.75649476541295,14.928266770065918,77.93718495540907,92.63280341217526,92.8266770065917,90.42264443582783,87.74718883288097,56.84373788290035,78.36370686312524,89.72469949592865,67.62310973245444,94.1062427297402,90.849166343544,85.84722760759985,39.62776269872043,76.77394338891042,60.41101202016285,87.04924389298178,68.82512601783637,61.65180302442807,86.9716944552152,16.789453276463746,96.23885226832104,89.91857309034509,1.589763474214812,80.1085692128732,[]
CNCCCC1C2=CC=CC=C2C=CC2=CC=CC=C12,263.384,4.301900000000003,1,1,4.0,0.8108521414626005,0,12.03,0.5408534646034241,0.9932104468345642,0.913767158985138,0.8151199102401734,0.3141842544078826,0.3407504439353943,0.0413956794887781,0.8460004329681396,0.8436370491981506,0.6454226493835449,0.1001441583037376,0.2327962473034858,0.329111622273922,0.3161226004362106,0.9997599840164184,0.0057852608617395,0.0174177365377545,0.3421089857816696,0.0596878498792648,0.0247202977538108,0.142109228670597,0.0059625358320772,0.9362652897834778,0.3473613679409027,0.1413391433656215,0.0121951209381222,0.0340368738397955,0.3053748607635498,0.0298771940171718,0.8300059914588929,0.9466874480247498,-4.5916992453096,71.06454634647574,-9.108472629545831,11.583073084639448,-5.87636680573676,2.948788770203554,1.7202595300953227,85.65568198096636,-3.647703671286005,14.833276507159662,30.53509112058937,81.89220628150446,6.649864288483908,36.68088406359054,63.80379992245056,90.5389685924777,22.48933695230709,6.417215975184179,85.26560682435053,93.91236913532376,78.1698332687088,92.59402869329196,73.55564172159751,82.62892594028693,51.41527723924001,98.44901124466848,94.57153935633968,66.49864288483909,55.44784800310197,63.5129895308259,78.20860798759209,41.25630089181853,79.1004265219077,35.129895308259016,40.480806514152775,88.67778208607987,64.55990694067468,59.480418766963936,68.82512601783637,53.19891430787126,75.49437766576192,68.67002714230321,52.53974408685537,59.05389685924777,67.81698332687088,78.32493214424196,55.83559519193486,86.9716944552152,92.94300116324156,74.40868553702985,77.62698720434277,17.409848778596356,56.49476541295076,83.67584335013571,76.5412950756107,54.94377665761923,64.87010469174098,38.34819697557192,96.00620395502132,[]
CN1CCC(CC1)=C1C2=CC=CC=C2C=CC2=CC=CC=C12,287.40600000000006,4.697900000000004,1,0,4.0,0.5791645622326819,0,3.24,0.4921689867973328,0.9978493332862854,0.8714402079582214,0.6669678449630737,0.1945687264204025,0.2089218765497207,0.0280479897744953,0.7546351194381714,0.8392836928367615,0.4695794284343719,0.0387458653189241,0.0492136541754007,0.5393227159976959,0.4819121539592743,0.9987468242645264,0.0072222356684505,0.0195758514106273,0.1503684043884277,0.0718574218451976,0.0093627511523664,0.0436755144968628,0.0058868214488029,0.9433485627174376,0.4717662990093231,0.1123489774763584,0.005133013986051,0.0293840277940034,0.0755033753812313,0.0260002929717302,0.8106956839561462,0.9477750897407532,-4.606819088201855,38.55256744825673,-4.904902288104454,-19.99812498715216,-6.055789331687085,2.954928981076085,2.7902209548666264,85.72546655448801,-4.692150747675276,3.7830087333473217,36.95230709577356,86.07987592089957,6.649864288483908,11.768127181077936,63.80379992245056,58.08452888716557,22.48933695230709,3.9744086855370298,82.00853043815432,97.94493989918573,65.41295075610702,87.97983714618069,62.97014346645987,64.21093447072508,45.98681659557968,95.26948429623884,94.33889104303994,48.66227219852656,43.9705312136487,20.240403257076387,91.15936409461032,52.84994183792168,63.47421481194261,40.13183404420318,44.086855370298565,77.66576192322606,67.23536254362156,34.35440093059325,21.98526560682435,52.966265994571536,77.58821248545948,74.33113609926328,47.576580069794495,45.9480418766964,65.10275300504071,59.75184179914695,53.39278790228771,85.0329585110508,93.136874757658,73.47809228383095,52.4621946490888,22.256688639007365,8.297789841023652,82.55137650252036,76.73516867002714,75.9208995734781,64.98642884839084,18.61186506397829,66.7312911981388,[]
CS(=O)(=O)C1=CC=C(C=C1)C1=C(C(=O)OC1)C1=CC=CC=C1,314.362,2.5577000000000005,4,0,4.0,0.8169951703125135,0,60.44,0.0389701688662171,0.7611584424972534,0.8414732575416565,0.5230991840362549,0.6035430133342743,0.35039644241333,0.2682349354028702,0.0681197635829448,0.0161679101176559,0.3186227411031723,0.251487123966217,0.418293708562851,0.0501888915896415,0.9691069602966308,0.996105933189392,0.0245255820453166,0.0192401884123682,0.0175587668083608,0.0337714221328496,0.0295354585163295,0.1074000120162963,0.0418039547279477,0.936533498764038,0.3014404654502868,0.1480637535452842,0.0168300798162817,0.0224152912385761,0.1032969899475574,0.0178495911881327,0.6114932119846344,0.1365272507071495,-4.410412013348251,45.44369910407776,21.054934050223213,21.544101696009783,-7.139328995115986,2.118478033444121,2.0071880184997903,91.19123254418538,-4.428675237256537,0.7759913568609699,45.05622334238077,54.20705699883676,46.47150058162078,11.768127181077936,63.80379992245056,91.12058937572702,22.48933695230709,38.67778208607987,15.742535866614968,52.26832105467236,58.93757270259791,83.59829391236913,88.05738658394726,83.59829391236913,80.61264055835595,40.20938348196975,31.446297014346644,33.73400542846064,69.3679720822024,83.59829391236913,36.487010469174095,94.49398991857308,51.06630476929042,71.61690577743312,43.46645986816596,44.86234974796432,54.98255137650252,64.44358278402481,58.82124854594804,81.62078324932143,75.5719271035285,66.61496704148895,53.54788677782086,64.98642884839084,59.32531989143079,63.93951143854207,47.07250872431175,67.46801085692128,34.97479643272586,86.00232648313299,58.51105079488173,54.090732842186895,68.3986041101202,73.98216362931369,25.823962776269877,60.06203955021326,75.76580069794494,23.536254362155876,43.07871267933307,[]
CN(C)CCOC1=CC=C(C=C1)C(=C(\CCCl)C1=CC=CC=C1)\C1=CC=CC=C1,405.9690000000001,6.215000000000006,2,0,3.0,0.3094533539966838,0,12.47,0.5111523151397706,0.6157958984375,0.8081243753433227,0.2783418238162994,0.2063027799129486,0.4047946810722351,0.0589840173721313,0.3952419817447662,0.3436688184738159,0.8448717832565308,0.3729613572359085,0.7523189067840577,0.1987937957048416,0.3964173957705498,0.9566977381706238,0.0148075511679053,0.0047275612130761,0.0634227976202964,0.3978321522474289,0.1537151668220758,0.1658536076545715,0.0897887296974659,0.7000364542007447,0.9414426803588868,0.7279485940933228,0.0213961584493517,0.489837497472763,0.4845818698406219,0.1452387750148773,0.7790834784507752,0.9193997859954834,-4.814402595385724,42.315051155472574,16.377321268966906,42.04240151183627,-4.891403306698448,2.551117894237948,3.9837469010706585,99.1391548907054,-7.02120668268936,11.824801712422031,66.57619232260566,95.19193485847228,16.38231872818922,11.768127181077936,20.918960837533927,22.528111671190384,22.48933695230709,7.212097712291586,83.44319503683599,39.20124079100427,52.26832105467236,74.9127568825126,64.1721597518418,87.82473827064753,56.3396665374176,80.1085692128732,80.92283830942226,94.26134160527336,75.14540519581233,97.16944552151996,66.26599457153935,47.46025591314463,31.13609926328034,58.66614967041489,12.795657231485071,64.98642884839084,94.68786351298952,91.8960837533928,73.90461419154711,90.18999612252811,46.452113222179136,96.7429236138038,93.91236913532376,68.90267545560295,97.01434664598682,84.9941837921675,80.49631640170608,81.77588212485459,88.98797983714618,60.33346258239628,55.79682047305157,48.08065141527724,83.63706863125242,89.53082590151222,51.68670027142303,95.23070957735555,89.53082590151222,1.240791004265219,93.75727025979062,[]
NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C12,236.274,3.3872000000000018,1,1,4.0,0.748363450121821,0,46.330000000000005,0.2852038592100143,0.9883072972297668,0.9687445878982544,0.5308001577854157,0.099706158414483,0.6829455852508545,0.0678145889192819,0.2718908488750458,0.0162746750749647,0.4507008016109466,0.0177745290100574,0.4004929885268211,0.1516180798411369,0.9050757408142088,0.9998132705688476,0.0424343209713697,0.1269435301423072,0.3050075352191925,0.0117223218083381,0.0133650639094412,0.1698457643389702,0.0146541394293308,0.886593222618103,0.0333785583265125,0.1142039082944393,0.0435080841183662,0.0095598843879997,0.2497851997613906,0.0699248604476451,0.4180476605892181,0.2260459810495376,-4.272991355119332,2.184706530797958,17.695740496699358,26.22031300337333,-9.850442215272396,2.0825038887097653,1.868215130571787,71.03987484954469,-3.5473684767013807,1.727950991571717,23.61380379992245,67.66188445133773,6.649864288483908,36.68088406359054,63.80379992245056,81.93098100038775,22.48933695230709,27.530050407134546,64.67623109732455,90.577743311361,95.26948429623884,83.86971694455215,49.39899185730904,98.6816595579682,58.66614967041489,72.31485071733229,31.6013958898798,47.15005816207832,37.30127956572315,82.43505234587049,60.44978673904614,81.96975571927103,81.426909654905,82.35750290810391,88.9492051182629,87.16556804963164,39.82163629313688,42.92361380379992,74.56378441256301,67.04148894920512,64.52113222179139,37.65025203567274,47.92555253974409,78.67390461419154,43.03993796044978,75.80457541682823,70.49243892981775,49.63164017060876,45.09499806126406,92.36138037999224,16.595579682047305,50.019387359441644,73.05157037611477,48.00310197751066,23.962776269872045,57.50290810391625,44.90112446684761,40.17060876308646,51.72547499030632,[]
CC1=C(CC(O)=O)C2=CC(F)=CC=C2\C1=C/C1=CC=C(C=C1)S(C)=O,356.41800000000006,4.365500000000004,2,1,4.0,0.885185467376535,1,54.37,0.2297706499695778,0.8116063237190246,0.9196887135505676,0.581241250038147,0.3887337565422058,0.5257314264774322,0.5012086391448974,0.0534383207559585,0.0637459743767976,0.3643886923789978,0.1493306905031204,0.5583016037940979,0.2084888905286789,0.958645522594452,0.9981528639793396,0.0259998081251978,0.0726140238344669,0.3802688658237457,0.1128243237733841,0.0604295674711465,0.2181513205170631,0.4403508901596069,0.6879934787750244,0.1300660550594329,0.5075262784957886,0.0894457004964351,0.0783964723348617,0.3310605734586715,0.1586271911859512,0.438702666759491,0.1705887362360954,-4.5831678441383845,12.786009522395489,1.6118749421802498,10.765393266306766,-8.129821393714469,3.2900027446041875,1.1241128310927866,98.7629691220466,-4.762911501664447,-2.8577785984172683,54.94377665761923,82.55137650252036,16.38231872818922,36.68088406359054,63.80379992245056,98.17758821248546,54.80806514152772,33.714618069019,56.96006203955021,56.96006203955021,79.83714618069018,85.45948041876696,77.82086079875921,94.41644048080651,90.26754556029468,35.20744474602559,54.55602946878635,38.34819697557192,61.5742535866615,91.00426521907715,67.62310973245444,91.08181465684372,59.05389685924777,73.05157037611477,81.93098100038775,89.84102365257851,75.06785575804575,80.34121752617293,82.04730515703761,98.79798371461808,45.36642109344707,54.63357890655293,83.98604110120202,86.85537029856533,81.65955796820472,79.37184955409073,81.58200853043815,51.49282667700659,39.27879022877084,75.14540519581233,25.35866614967041,30.399379604497867,55.44784800310197,65.25785188057387,88.9104303993796,44.35827840248158,88.9492051182629,17.72004652966266,16.86700271423032,[]
CC\C(=C(/C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1,371.524,5.9961000000000055,2,0,3.0,0.4505726789966775,0,12.47,0.1518954567611217,0.6735814809799194,0.7251211881637574,0.2280401401221752,0.1354147687554359,0.540096127986908,0.0679081261157989,0.4976632297039032,0.3335104689002037,0.8497150540351868,0.2726245880126953,0.4733789443969726,0.1472251787781715,0.3899558871984482,0.9542800664901734,0.009078091289848,0.0051700526848435,0.0526834465563297,0.4256378173828125,0.1152652807533741,0.1227509655058383,0.0528313696384429,0.8499386310577393,0.9382849335670472,0.5864742577075959,0.0116342265158891,0.3839312702417373,0.531922060251236,0.0731681875884533,0.7375464320182801,0.9352680921554566,-4.692618204243855,65.81872047925077,25.66924140934093,25.070813052610124,-4.501265908699272,2.1517767535454384,3.843604673650316,94.99527945568056,-6.912489476909029,9.123433890094374,58.86002326483133,94.26134160527336,16.38231872818922,11.768127181077936,20.918960837533927,40.28693291973633,22.48933695230709,7.212097712291586,44.31950368359829,44.31950368359829,39.82163629313688,72.04342768514928,54.78867778208608,94.95928654517256,58.74369910818147,85.76967816983327,80.26366808840636,94.92051182628926,70.84141139976735,87.24311748739821,59.519193485847225,47.07250872431175,30.864676231097324,45.32764637456378,13.726250484683986,62.00077549437766,95.57968204730516,89.2594028693292,64.24970918960837,84.6839860411012,59.557968204730514,96.47150058162076,87.78596355176424,58.278402481582006,95.85110507948818,86.73904614191547,71.22915858860023,78.86777820860799,91.27568825126018,67.93330748352074,74.21481194261341,57.85188057386584,71.81077937184955,90.92671578131058,27.6851492826677,93.95114385420706,82.78402481582009,1.357115160915083,89.68592477704536,[]
CCN(CC)CCOC1=CC=C(C=C1)C(=C(Cl)C1=CC=CC=C1)C1=CC=CC=C1,405.9690000000001,6.562600000000007,2,0,3.0,0.3734283215865667,0,12.47,0.3514386415481567,0.5750547826290131,0.8082870244979858,0.3835240542888641,0.1217890348285436,0.4408964216709137,0.0586878847330808,0.479786205291748,0.5894561886787415,0.7497125029563904,0.1460275918245315,0.6121860623359681,0.2421555787324905,0.2828607201576233,0.9436382174491882,0.0144095297902822,0.0065170469693839,0.0472840372473001,0.290122640132904,0.0976487521082162,0.1908708408474922,0.062510834634304,0.7895194292068481,0.8948377966880798,0.5053574442863464,0.0146855124272406,0.179713299870491,0.3251155436038971,0.067881178855896,0.7871090412139893,0.9526263475418092,-4.797749979831906,58.441558675799605,27.106160965763515,142.3440689996716,-5.105570333314591,2.355619621435408,3.8297036345835713,95.76751932927333,-5.627730218501319,21.990951185057725,66.61496704148895,96.20007754943776,16.38231872818922,11.768127181077936,20.918960837533927,30.70957735556417,22.48933695230709,7.212097712291586,71.81077937184955,35.55641721597518,52.34587049243893,79.52694842962389,53.16013958898798,90.34509499806126,56.26211709965103,84.76153547886777,87.97983714618069,80.4575416828228,61.14773167894533,93.4470725087243,71.07405971306707,39.00736719658782,29.778984102365257,57.696781698332686,17.215975184179914,60.13958898797984,90.30632027917795,87.82473827064753,78.71267933307483,86.70027142303218,52.966265994571536,93.136874757658,83.83094222566886,62.65994571539356,91.1981388134936,79.17797595967428,69.79449398991858,82.86157425358665,93.71849554090733,61.53547886777821,69.40674680108569,59.40286932919736,97.59596742923614,88.56145792943,39.24001550988756,93.8348196975572,83.98604110120202,7.754943776657619,98.25513765025204,[]
