Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 1,CC/C(=C(\c1ccc(cc1)O)/CC)/c1ccc(cc1)O,C18H20O2,268.35,20,12,0.22,4,2,2,85.09,40.46,2.74,5.07,4.83,3.86,4.25,4.15,-4.88,3.55e-03,1.32e-05,Moderately soluble,-5.66,5.84e-04,2.18e-06,Moderately soluble,-5.44,9.77e-04,3.64e-06,Moderately soluble,High,Yes,No,Yes,Yes,Yes,Yes,Yes,-4.34,0,0,0,0,1,0.55,0,1,1,2.35
Molecule 2,COc1ccc(cc1)C(=C(c1ccc(cc1)OC)Cl)c1ccc(cc1)OC,C23H21ClO3,380.86,27,18,0.13,6,3,0,110.57,27.69,4.26,6.41,5.87,4.34,5.87,5.35,-6.34,1.75e-04,4.60e-07,Poorly soluble,-6.78,6.26e-05,1.64e-07,Poorly soluble,-8.46,1.33e-06,3.48e-09,Poorly soluble,High,Yes,Yes,No,Yes,Yes,No,No,-4.07,1,1,0,0,1,0.55,0,1,2,2.72
Molecule 3,CNCCCC1c2ccccc2C=Cc2c1cccc2,C19H21N,263.38,20,12,0.26,4,1,1,86.85,12.03,3.26,4.41,4.08,4.09,4.42,4.05,-4.43,9.76e-03,3.70e-05,Moderately soluble,-4.38,1.10e-02,4.17e-05,Moderately soluble,-6.70,5.24e-05,1.99e-07,Poorly soluble,High,Yes,No,No,No,No,Yes,No,-4.78,0,0,0,0,1,0.55,0,1,1,3.57
Molecule 4,CN1CCC(=C2c3ccccc3C=Cc3c2cccc3)CC1,C21H21N,287.40,22,12,0.24,0,1,0,98.68,3.24,3.38,4.69,4.10,4.46,4.64,4.25,-4.98,3.01e-03,1.05e-05,Moderately soluble,-4.49,9.38e-03,3.27e-05,Moderately soluble,-6.35,1.28e-04,4.45e-07,Poorly soluble,High,Yes,No,No,No,No,Yes,No,-4.72,1,0,0,0,1,0.55,0,1,1,3.40
Molecule 5,O=C1OCC(=C1c1ccccc1)c1ccc(cc1)S(=O)(=O)C,C17H14O4S,314.36,22,12,0.12,3,4,0,83.69,68.82,2.13,2.27,3.64,2.62,3.27,2.79,-3.42,1.18e-01,3.76e-04,Soluble,-3.35,1.40e-01,4.45e-04,Soluble,-5.92,3.81e-04,1.21e-06,Moderately soluble,High,Yes,No,Yes,Yes,Yes,No,No,-6.61,0,0,0,0,0,0.55,0,1,0,2.82
Molecule 6,ClCC/C(=C(\c1ccccc1)/c1ccc(cc1)OCCN(C)C)/c1ccccc1,C26H28ClNO,405.96,29,18,0.23,9,2,0,124.52,12.47,4.70,7.20,6.22,5.30,6.50,5.98,-6.76,7.08e-05,1.74e-07,Poorly soluble,-7.28,2.11e-05,5.19e-08,Poorly soluble,-9.52,1.21e-07,2.99e-10,Poorly soluble,Low,No,Yes,No,Yes,No,Yes,Yes,-3.66,1,1,0,1,1,0.55,0,2,3,3.18
Molecule 7,NC(=O)N1c2ccccc2C=Cc2c1cccc2,C15H12N2O,236.27,18,12,0.00,1,1,1,76.05,46.33,2.10,2.45,2.79,2.99,1.65,2.40,-3.28,1.25e-01,5.30e-04,Soluble,-3.07,2.03e-01,8.58e-04,Soluble,-3.93,2.78e-02,1.17e-04,Soluble,High,Yes,Yes,Yes,Yes,No,No,No,-6.00,0,0,0,0,0,0.55,0,1,1,2.93
Molecule 8,OC(=O)CC1=C(C)/C(=C/c2ccc(cc2)S(=O)C)/c2c1cc(F)cc2,C20H17FO3S,356.41,25,12,0.15,4,4,1,98.35,73.58,2.77,3.42,5.54,3.74,4.26,3.95,-4.30,1.80e-02,5.06e-05,Moderately soluble,-4.65,8.07e-03,2.26e-05,Moderately soluble,-6.55,1.00e-04,2.81e-07,Poorly soluble,High,No,No,No,Yes,Yes,No,Yes,-6.05,0,0,0,0,0,0.85,0,1,1,3.97
Molecule 9,CC/C(=C(\c1ccccc1)/c1ccc(cc1)OCCN(C)C)/c1ccccc1,C26H29NO,371.51,28,18,0.23,8,2,0,119.72,12.47,4.64,7.14,6.00,5.10,5.99,5.77,-6.59,9.56e-05,2.57e-07,Poorly soluble,-7.22,2.23e-05,5.99e-08,Poorly soluble,-8.92,4.48e-07,1.21e-09,Poorly soluble,Low,No,Yes,No,Yes,No,Yes,No,-3.50,1,1,0,1,1,0.55,0,1,3,3.01
Molecule 10,CCN(CCOc1ccc(cc1)C(=C(c1ccccc1)Cl)c1ccccc1)CC,C26H28ClNO,405.96,29,18,0.23,9,2,0,124.52,12.47,4.37,7.24,6.56,5.30,6.50,6.00,-6.78,6.68e-05,1.65e-07,Poorly soluble,-7.33,1.92e-05,4.72e-08,Poorly soluble,-9.52,1.21e-07,2.99e-10,Poorly soluble,Low,No,Yes,No,Yes,No,Yes,Yes,-3.64,1,1,0,1,1,0.55,0,1,3,3.04
Molecule 11,CN(CCC=C1c2ccccc2C=Cc2c1cccc2)C,C20H21N,275.39,21,12,0.20,3,1,0,92.07,3.24,3.44,5.24,4.34,4.24,4.45,4.34,-5.07,2.33e-03,8.44e-06,Moderately soluble,-5.06,2.42e-03,8.77e-06,Moderately soluble,-6.22,1.64e-04,5.96e-07,Poorly soluble,High,Yes,No,No,No,No,Yes,No,-4.26,1,0,0,0,2,0.55,0,1,1,3.50
Molecule 12,Oc1ccc(cc1)/C=C/c1cc(O)cc(c1)O,C14H12O3,228.24,17,12,0.00,2,3,3,67.88,60.69,1.71,3.13,2.76,2.26,2.57,2.48,-3.62,5.51e-02,2.41e-04,Soluble,-4.07,1.93e-02,8.44e-05,Moderately soluble,-3.29,1.18e-01,5.16e-04,Soluble,High,Yes,No,Yes,No,Yes,No,Yes,-5.47,0,0,0,0,0,0.55,0,1,1,2.02
Molecule 13,C/C(=C\c1ccc(cc1)C(=O)O)/c1ccc2c(c1)C(C)(C)CCC2(C)C,C24H28O2,348.48,26,12,0.38,3,2,1,110.00,37.30,3.73,7.47,6.19,5.26,6.32,5.79,-6.85,4.92e-05,1.41e-07,Poorly soluble,-8.09,2.86e-06,8.20e-09,Poorly soluble,-7.36,1.51e-05,4.35e-08,Poorly soluble,High,No,No,No,No,Yes,Yes,No,-3.12,1,1,0,1,1,0.85,0,1,1,3.03
Molecule 14,COc1cc(OC)cc(c1/C=C\1/C(=O)Nc2c1cccc2)OC,C18H17NO4,311.33,23,12,0.17,4,4,1,91.61,56.79,2.87,2.81,2.52,1.77,3.54,2.70,-3.66,6.77e-02,2.17e-04,Soluble,-3.66,6.82e-02,2.19e-04,Soluble,-5.80,4.90e-04,1.57e-06,Moderately soluble,High,Yes,No,Yes,Yes,Yes,Yes,Yes,-6.20,0,0,0,0,0,0.55,0,2,0,2.79
Molecule 15,CC/C(=C(\c1ccc(cc1)O)/c1ccc(cc1)OCCN(C)C)/c1ccccc1,C26H29NO2,387.51,29,18,0.23,8,3,1,121.75,32.70,4.33,6.79,5.70,4.49,5.51,5.36,-6.45,1.37e-04,3.54e-07,Poorly soluble,-7.28,2.02e-05,5.20e-08,Poorly soluble,-8.33,1.81e-06,4.67e-09,Poorly soluble,High,Yes,Yes,No,Yes,No,Yes,Yes,-3.84,1,1,0,0,1,0.55,0,1,3,3.05
Molecule 16,Oc1ccc(cc1)C1=Cc2c(OC1)cc(cc2)O,C15H12O3,240.25,18,12,0.07,1,3,2,70.24,49.69,2.07,2.72,2.92,2.12,2.87,2.54,-3.47,8.13e-02,3.38e-04,Soluble,-3.42,9.19e-02,3.83e-04,Soluble,-4.09,1.94e-02,8.09e-05,Moderately soluble,High,Yes,Yes,Yes,No,No,Yes,Yes,-5.83,0,0,0,0,0,0.55,0,1,1,2.97
Molecule 17,ClCC/C(=C(\c1ccccc1)/c1ccc(cc1)OCCO)/c1ccccc1,C24H23ClO2,378.89,27,18,0.17,8,2,1,113.17,29.46,3.73,6.47,5.65,4.90,6.32,5.41,-6.23,2.23e-04,5.88e-07,Poorly soluble,-6.88,4.95e-05,1.31e-07,Poorly soluble,-8.86,5.22e-07,1.38e-09,Poorly soluble,High,Yes,Yes,Yes,Yes,No,Yes,Yes,-4.02,1,1,0,0,1,0.55,0,2,3,3.04
Molecule 18,COc1cc(/C=C\c2ccc(c(c2OP(=O)(O)O)OP(=O)(O)O)OC)cc(c1OC)OC,C18H22O12P2,492.31,32,12,0.22,10,12,4,113.12,190.06,1.00,0.75,2.62,-0.00,0.98,1.07,-2.98,5.13e-01,1.04e-03,Soluble,-4.32,2.35e-02,4.78e-05,Moderately soluble,-2.56,1.35e+00,2.74e-03,Soluble,Low,No,No,Yes,No,No,No,No,-8.77,1,1,1,1,2,0.11,0,2,2,4.06
Molecule 19,OC(=O)c1ccc(cc1)/C=C/c1cc2c(cc1Cn1cccn1)C(C)(C)CCC2(C)C,C27H30N2O2,414.54,31,17,0.33,5,3,1,126.73,55.12,3.82,6.75,5.93,4.77,5.98,5.45,-6.74,7.57e-05,1.83e-07,Poorly soluble,-7.71,8.02e-06,1.94e-08,Poorly soluble,-7.86,5.78e-06,1.39e-08,Poorly soluble,High,No,Yes,No,No,Yes,No,No,-4.04,1,1,0,1,1,0.85,0,1,2,3.36
Molecule 20,CC(c1c(O)cc(cc1O)/C=C/c1ccccc1)C,C17H18O2,254.32,19,12,0.18,3,2,2,80.44,40.46,2.93,4.61,4.17,3.62,4.14,3.89,-4.59,6.53e-03,2.57e-05,Moderately soluble,-5.18,1.66e-03,6.54e-06,Moderately soluble,-4.68,5.29e-03,2.08e-05,Moderately soluble,High,Yes,No,Yes,Yes,Yes,Yes,Yes,-4.58,0,0,0,0,0,0.55,0,1,1,2.26
Molecule 21,OC(=O)CC1=C(C)/C(=C/c2ccc(cc2)S(=O)(=O)C)/c2c1cc(F)cc2,C20H17FO4S,372.41,26,12,0.15,4,5,1,99.03,79.82,2.35,3.53,5.42,3.63,4.32,3.85,-4.45,1.32e-02,3.55e-05,Moderately soluble,-4.89,4.79e-03,1.29e-05,Moderately soluble,-6.45,1.33e-04,3.58e-07,Poorly soluble,High,No,No,Yes,Yes,Yes,No,No,-6.07,0,0,0,0,0,0.56,0,1,2,3.55
Molecule 22,ClCC/C(=C(\c1ccccc1)/c1ccc(cc1)OCCOCCO)/c1ccccc1,C26H27ClO3,422.94,30,18,0.23,11,3,1,123.87,38.69,4.23,6.33,5.66,4.42,6.66,5.46,-6.17,2.87e-04,6.79e-07,Poorly soluble,-6.93,4.94e-05,1.17e-07,Poorly soluble,-9.37,1.79e-07,4.24e-10,Poorly soluble,High,Yes,Yes,Yes,Yes,No,Yes,Yes,-4.39,1,1,1,0,1,0.55,0,2,3,3.44
Molecule 23,CCCCN(CC(c1cc(Cl)cc2c1c1ccc(cc1/C/2=C/c1ccc(cc1)Cl)Cl)O)CCCC,C30H32Cl3NO,528.94,35,18,0.33,10,2,1,152.61,23.47,5.68,8.72,8.72,6.60,9.56,7.86,-8.33,2.45e-06,4.64e-09,Poorly soluble,-9.09,4.27e-07,8.08e-10,Poorly soluble,-11.79,8.64e-10,1.63e-12,Insoluble,Low,No,Yes,No,No,No,Yes,No,-3.34,2,3,0,1,1,0.17,0,1,3,4.52
Molecule 24,CCN(CCOc1ccc(cc1)/C(=C(\c1ccccc1)/Cl)/c1ccccc1)CC,C26H28ClNO,405.96,29,18,0.23,9,2,0,124.52,12.47,4.93,7.24,6.56,5.30,6.50,6.11,-6.78,6.68e-05,1.65e-07,Poorly soluble,-7.33,1.92e-05,4.72e-08,Poorly soluble,-9.52,1.21e-07,2.99e-10,Poorly soluble,Low,No,Yes,No,Yes,No,Yes,Yes,-3.64,1,1,0,1,1,0.55,0,1,3,3.04
Molecule 25,CCOc1cc(ccc1OCC)/C=C/1\NCCc2c1cc(OCC)c(c2)OCC,C24H31NO4,397.51,29,12,0.42,9,4,1,121.38,48.95,4.58,5.35,4.44,2.77,5.75,4.58,-5.39,1.63e-03,4.10e-06,Moderately soluble,-6.13,2.94e-04,7.40e-07,Poorly soluble,-7.88,5.24e-06,1.32e-08,Poorly soluble,High,Yes,No,No,No,No,Yes,No,-4.93,0,0,0,0,1,0.55,0,1,3,3.57
Molecule 26,Oc1ccc(cc1)C1=C(Br)c2c(C1=O)cc(cc2)O,C15H9BrO3,317.13,19,12,0.00,1,3,2,77.00,57.53,1.91,3.27,3.56,2.15,3.57,2.89,-4.27,1.71e-02,5.40e-05,Moderately soluble,-4.15,2.23e-02,7.04e-05,Moderately soluble,-5.29,1.64e-03,5.18e-06,Moderately soluble,High,Yes,No,Yes,No,No,Yes,Yes,-5.91,0,0,0,0,0,0.55,0,1,0,3.04
