Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 1,COC(=O)C1=COC(C2C1CC1N(C2)CCC21C(=O)Nc1c2cccc1)C,C21H24N2O4,368.43,27,6,0.52,2,5,1,106.47,67.87,3.29,1.62,1.11,1.80,1.67,1.90,-3.18,2.45e-01,6.65e-04,Soluble,-2.66,8.11e-01,2.20e-03,Soluble,-3.96,4.01e-02,1.09e-04,Soluble,High,No,Yes,No,No,No,Yes,No,-7.40,0,0,0,0,0,0.55,0,0,1,5.12
Molecule 2,COC(=O)C1=COC(C2C1CC1N(C2)CCC21C(=O)Nc1c2cccc1)C,C21H24N2O4,368.43,27,6,0.52,2,5,1,106.47,67.87,3.29,1.62,1.11,1.80,1.67,1.90,-3.18,2.45e-01,6.65e-04,Soluble,-2.66,8.11e-01,2.20e-03,Soluble,-3.96,4.01e-02,1.09e-04,Soluble,High,No,Yes,No,No,No,Yes,No,-7.40,0,0,0,0,0,0.55,0,0,1,5.12
Molecule 3,COC(=O)C1=COC(C2C1CC1N(C2)CCC21C(=O)Nc1c2cccc1)C,C21H24N2O4,368.43,27,6,0.52,2,5,1,106.47,67.87,3.29,1.62,1.11,1.80,1.67,1.90,-3.18,2.45e-01,6.65e-04,Soluble,-2.66,8.11e-01,2.20e-03,Soluble,-3.96,4.01e-02,1.09e-04,Soluble,High,No,Yes,No,No,No,Yes,No,-7.40,0,0,0,0,0,0.55,0,0,1,5.12
Molecule 4,COC(=O)C1=COC(C2C1CC1N(C2)CCC21C(=O)Nc1c2cccc1)C,C21H24N2O4,368.43,27,6,0.52,2,5,1,106.47,67.87,3.29,1.62,1.11,1.80,1.67,1.90,-3.18,2.45e-01,6.65e-04,Soluble,-2.66,8.11e-01,2.20e-03,Soluble,-3.96,4.01e-02,1.09e-04,Soluble,High,No,Yes,No,No,No,Yes,No,-7.40,0,0,0,0,0,0.55,0,0,1,5.12
Molecule 5,COC(=O)C1=COC(C2C1CC1N(C2)CCC21C(=O)Nc1c2cccc1)C,C21H24N2O4,368.43,27,6,0.52,2,5,1,106.47,67.87,3.29,1.62,1.11,1.80,1.67,1.90,-3.18,2.45e-01,6.65e-04,Soluble,-2.66,8.11e-01,2.20e-03,Soluble,-3.96,4.01e-02,1.09e-04,Soluble,High,No,Yes,No,No,No,Yes,No,-7.40,0,0,0,0,0,0.55,0,0,1,5.12
Molecule 6,COC(=O)C1=COC(C2C1CC1N(C2)CCC21C(=O)Nc1c2cccc1)C,C21H24N2O4,368.43,27,6,0.52,2,5,1,106.47,67.87,3.29,1.62,1.11,1.80,1.67,1.90,-3.18,2.45e-01,6.65e-04,Soluble,-2.66,8.11e-01,2.20e-03,Soluble,-3.96,4.01e-02,1.09e-04,Soluble,High,No,Yes,No,No,No,Yes,No,-7.40,0,0,0,0,0,0.55,0,0,1,5.12
Molecule 7,COC(=O)C1=COC(C2C1CC1N(C2)CCC21C(=O)Nc1c2cccc1)C,C21H24N2O4,368.43,27,6,0.52,2,5,1,106.47,67.87,3.29,1.62,1.11,1.80,1.67,1.90,-3.18,2.45e-01,6.65e-04,Soluble,-2.66,8.11e-01,2.20e-03,Soluble,-3.96,4.01e-02,1.09e-04,Soluble,High,No,Yes,No,No,No,Yes,No,-7.40,0,0,0,0,0,0.55,0,0,1,5.12
Molecule 8,COC=C(C1CC2N(CC1CC)CCC12C(=O)Nc2c1cccc2)C(=O)OC,C22H28N2O4,384.47,28,6,0.55,5,5,1,113.39,67.87,3.68,2.31,1.75,2.02,2.54,2.46,-3.51,1.19e-01,3.11e-04,Soluble,-3.37,1.63e-01,4.23e-04,Soluble,-4.48,1.27e-02,3.30e-05,Moderately soluble,High,Yes,No,No,No,No,Yes,Yes,-7.01,0,0,0,0,0,0.55,0,2,1,4.78
Molecule 9,COC=C(C1CC2N(CC1CC)CCC12C(=O)Nc2c1cccc2)C(=O)OC,C22H28N2O4,384.47,28,6,0.55,5,5,1,113.39,67.87,3.68,2.31,1.75,2.02,2.54,2.46,-3.51,1.19e-01,3.11e-04,Soluble,-3.37,1.63e-01,4.23e-04,Soluble,-4.48,1.27e-02,3.30e-05,Moderately soluble,High,Yes,No,No,No,No,Yes,Yes,-7.01,0,0,0,0,0,0.55,0,2,1,4.78
Molecule 10,COC=C(C1CC2N(CC1C=C)CCC12C(=O)Nc2c1cccc2)C(=O)OC,C22H26N2O4,382.45,28,6,0.45,5,5,1,112.92,67.87,3.51,2.06,1.52,1.94,2.54,2.31,-3.34,1.76e-01,4.60e-04,Soluble,-3.11,2.94e-01,7.69e-04,Soluble,-4.14,2.78e-02,7.28e-05,Moderately soluble,High,Yes,No,No,No,No,No,Yes,-7.17,0,0,0,0,0,0.55,0,3,1,4.84
Molecule 11,COC=C(C1CC2N(CC1C=C)CCC12C(=O)Nc2c1cccc2)C(=O)OC,C22H26N2O4,382.45,28,6,0.45,5,5,1,112.92,67.87,3.51,2.06,1.52,1.94,2.54,2.31,-3.34,1.76e-01,4.60e-04,Soluble,-3.11,2.94e-01,7.69e-04,Soluble,-4.14,2.78e-02,7.28e-05,Moderately soluble,High,Yes,No,No,No,No,No,Yes,-7.17,0,0,0,0,0,0.55,0,3,1,4.84
