  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
        0        0.000        3.456            0      307.794      272.986      162.221
        1        0.182        3.446            0      305.356      274.458      159.148
        2        0.145        3.464            0      305.888      322.012      159.119
        3        0.196        3.470            0      305.565      276.875      158.486
        4        0.213        3.456            0      306.794      291.566      161.424
        5        0.243        3.473            0      307.876      278.141      160.444
        6        0.161        3.463            0      307.013      309.199      164.798
        7        0.255        3.434            0      303.922      276.469      155.017
        8        0.154        3.464            0      306.671      360.782      159.967
        9        0.174        3.478            0      308.893      338.054      161.793
       10        0.311        3.474            0      306.558      318.147      161.306
       11        0.235        3.448            0      306.445      279.414      162.805
       12        0.220        3.499            0      308.246      341.582      166.507
       13        0.166        3.447            0      306.534      319.243      162.230
       14        0.237        3.465            0      305.275      287.107      157.551
       15        0.233        3.484            0      307.302      331.578      160.326
       16        0.218        3.481            0      306.350      320.996      161.574
       17        0.191        3.468            0      307.394      273.094      164.292
       18        0.179        3.509            0      309.331      276.701      160.475
       19        0.229        3.463            0      306.468      209.251      163.067
       20        0.274        3.502            0      306.738      253.537      158.166
       21        0.354        3.410            0      301.683      200.880      162.340
       22        0.294        3.454            0      305.424      236.913      158.032
       23        0.271        3.434            0      305.040      241.225      157.942
       24        0.250        3.422            0      303.598      264.456      160.056
       25        0.228        3.467            0      304.681      229.384      155.652
       26        0.221        3.464            0      306.538      208.032      159.729
       27        0.308        3.428            0      303.559      189.265      161.188
       28        0.249        3.440            0      306.264      162.426      157.815
       29        0.184        3.475            0      307.018      168.049      165.321
       30        0.174        3.442            0      305.301      172.893      158.598
       31        0.165        3.443            0      306.266      146.449      167.035
       32        0.344        3.514            0      306.026      174.366      158.187
       33        0.183        3.473            0      306.114      160.516      160.520
       34        0.222        3.451            0      305.556      134.702      161.400
       35        0.171        3.465            0      307.584      206.886      162.006
       36        0.264        3.430            0      304.226      183.834      163.599
       37        0.200        3.474            0      307.225      187.445      160.316
       38        0.154        3.431            0      304.560      197.634      161.349
       39        0.205        3.452            0      305.975      206.524      163.987
       40        0.146        3.473            0      306.011      160.090      161.519
       41        0.228        3.452            0      306.842      138.542      165.384
       42        0.222        3.466            0      306.502      173.803      158.817
       43        0.233        3.506            0      307.583      143.868      160.222
       44        0.206        3.445            0      306.121      159.896      162.272
       45        0.211        3.451            0      304.375      152.435      155.377
       46        0.157        3.457            0      303.950      147.727      161.213
       47        0.250        3.456            0      304.238      123.539      160.245
       48        0.186        3.473            0      306.424      164.836      159.109
       49        0.179        3.461            0      306.099      148.280      161.794
       50        0.282        3.397            0      302.906      127.896      162.035
       51        0.135        3.472            0      308.412      128.404      162.751
       52        0.189        3.454            0      303.970      174.958      160.358
       53        0.246        3.525            0      307.936      196.968      163.424
       54        0.198        3.461            0      305.643      174.730      158.788
       55        0.160        3.473            0      304.818      180.568      164.559
       56        0.169        3.457            0      304.193      134.356      160.907
       57        0.178        3.460            0      306.505      197.256      159.679
       58        0.210        3.444            0      307.221      149.631      164.796
       59        0.193        3.471            0      305.811      138.030      160.152
       60        0.215        3.496            0      309.057      148.412      157.536
       61        0.339        3.501            0      306.977      185.351      159.388
       62        0.293        3.462            0      305.613      192.231      158.345
       63        0.351        3.519            0      308.802      189.790      157.740
       64        0.282        3.445            0      303.600      169.142      159.727
       65        0.315        3.491            0      305.216      140.295      158.162
       66        0.194        3.444            0      305.719      186.216      164.117
       67        0.218        3.420            0      305.540      160.843      160.192
       68        0.160        3.510            0      309.094      141.345      161.357
       69        0.205        3.484            0      307.788      163.915      163.375
       70        0.142        3.472            0      306.418      157.235      164.845
       71        0.200        3.453            0      305.765      107.924      160.848
       72        0.330        3.432            0      303.806      122.179      164.028
       73        0.249        3.421            0      305.326      141.881      161.549
       74        0.240        3.448            0      304.482      138.496      162.561
       75        0.159        3.444            0      306.791      167.456      164.255
       76        0.188        3.451            0      303.669      103.334      158.674
       77        0.201        3.433            0      303.247      109.328      164.988
       78        0.221        3.411            0      304.282       77.097      163.992
       79        0.151        3.454            0      305.378       98.811      162.849
       80        0.290        3.528            0      309.098      122.380      158.583
       81        0.190        3.469            0      305.386      140.989      160.490
       82        0.287        3.394            0      304.426      221.272      164.589
       83        0.235        3.457            0      307.030      207.452      158.920
       84        0.188        3.435            0      304.528      216.549      164.148
       85        0.252        3.459            0      304.752      189.859      160.942
       86        0.220        3.390            0      301.632      211.653      159.948
       87        0.210        3.435            0      306.454      186.088      160.378
       88        0.253        3.460            0      307.776      198.981      161.660
       89        0.324        3.405            0      303.720      219.928      161.892
       90        0.314        3.400            0      304.674      194.811      162.951
       91        0.252        3.428            0      304.735      206.485      164.875
       92        0.180        3.434            0      303.793      205.608      159.507
       93        0.262        3.399            0      303.171      238.063      163.136
       94        0.165        3.466            0      307.767      233.894      163.100
       95        0.211        3.458            0      307.841      169.387      160.525
       96        0.351        3.352            0      300.031      190.719      163.690
