   # Atom# PDBResName  wrt_Protein   wrt_Ligand 
         1                   5.102        0.116
         2                   5.070        0.176
         3                   5.240        0.104
         4                   5.768        0.155
         5                   5.524        0.168
         6                   5.184        0.099
         7                   4.974        0.112
         8                   4.958        0.097
         9                   4.885        0.114
        10                   4.984        0.089
        11                   4.911        0.107
        12                   5.275        0.151
        13                   5.629        0.244
        14                   5.972        0.245
        15                   5.953        0.242
        16                   5.583        0.220
        17                   5.242        0.111
        18                   5.490        0.132
        19                   5.906        0.114
        20                   6.290        0.208
        21                   6.769        0.243
        22                   6.900        0.242
        23                   6.540        0.207
        24                   6.025        0.117
        25                   5.382        0.110
        26                   5.059        0.208
        27                   4.878        0.209
        28                   5.495        0.266
