  Frame_#         RMSD         rGyr      intraHB        MolSA         SASA          PSA
        0        0.000        3.594            0      296.428      274.510      174.751
        1        0.336        3.626            0      296.169      303.939      176.114
        2        0.243        3.624            0      296.936      264.182      174.686
        3        0.234        3.617            0      297.897      307.817      171.805
        4        0.330        3.637            0      298.349      236.118      173.598
        5        0.330        3.666            0      297.696      273.213      177.399
        6        0.215        3.615            0      297.192      221.733      172.692
        7        0.164        3.623            0      295.540      209.527      172.423
        8        0.225        3.631            0      296.939      236.940      171.064
        9        0.248        3.631            0      296.426      285.368      170.886
       10        0.247        3.673            0      299.137      209.593      175.931
       11        0.244        3.658            0      296.517      181.309      174.179
       12        0.272        3.607            0      296.827      189.909      175.916
       13        0.267        3.611            0      296.727      171.186      175.134
       14        0.177        3.620            0      296.030      191.760      176.488
       15        0.325        3.657            0      297.236      175.644      174.275
       16        0.248        3.596            0      294.858      209.138      177.218
       17        0.287        3.677            0      299.980      202.263      175.857
       18        0.143        3.597            0      295.032      231.441      173.165
       19        0.280        3.645            0      297.207      159.949      174.020
       20        0.174        3.611            0      295.934      170.558      171.167
       21        0.168        3.623            0      296.460      175.711      173.368
       22        0.221        3.620            0      296.519      156.564      173.807
       23        0.265        3.627            0      296.841      236.494      171.968
       24        0.262        3.631            0      296.992      224.288      174.267
       25        0.252        3.628            0      297.339      248.048      172.534
       26        0.160        3.636            0      300.025      263.302      175.646
       27        0.194        3.571            0      295.815      239.947      174.338
       28        0.212        3.621            0      295.890      247.940      171.202
       29        0.175        3.595            0      297.184      261.451      173.669
       30        0.286        3.660            0      299.553      291.960      173.380
       31        0.252        3.600            0      296.763      252.386      171.071
       32        0.422        3.638            0      296.357      223.448      174.670
       33        0.306        3.652            0      296.771      296.073      177.886
       34        0.217        3.637            0      298.112      248.246      173.777
       35        0.443        3.668            0      297.862      242.882      174.890
       36        0.320        3.650            0      298.011      240.160      176.871
       37        0.286        3.652            0      297.782      209.046      176.358
       38        0.252        3.596            0      295.823      173.843      173.376
       39        0.286        3.620            0      296.048      174.155      172.429
       40        0.223        3.594            0      294.344      221.490      173.869
       41        0.249        3.584            0      294.030      239.956      174.989
       42        0.403        3.674            0      297.206      233.635      173.594
       43        0.308        3.615            0      297.263      238.015      172.628
       44        0.280        3.641            0      296.801      263.721      175.721
       45        0.258        3.628            0      295.758      273.238      168.701
       46        0.295        3.623            0      296.947      266.001      173.521
       47        0.393        3.661            0      296.381      274.785      171.866
       48        0.244        3.629            0      297.019      243.910      173.204
       49        0.318        3.619            0      296.238      345.625      175.947
       50        0.216        3.571            0      295.774      279.737      171.277
       51        0.284        3.642            0      297.329      258.934      170.609
       52        0.171        3.620            0      296.203      219.202      170.540
       53        0.224        3.629            0      297.529      216.739      173.035
       54        0.161        3.587            0      294.442      247.410      172.510
       55        0.245        3.627            0      295.490      204.116      173.544
       56        0.211        3.653            0      297.508      211.827      172.889
       57        0.152        3.586            0      295.284      210.271      173.646
       58        0.227        3.588            0      295.393      223.923      174.729
       59        0.252        3.670            0      298.143      228.162      173.410
       60        0.156        3.632            0      295.552      206.485      168.255
       61        0.292        3.651            0      296.761      289.269      169.620
       62        0.304        3.637            0      296.277      283.367      172.674
       63        0.328        3.672            0      297.448      330.618      175.335
       64        0.187        3.609            0      295.809      330.200      174.014
       65        0.216        3.613            0      296.211      288.352      173.531
       66        0.282        3.655            0      299.089      305.279      171.959
       67        0.258        3.627            0      294.858      322.917      170.861
       68        0.183        3.638            0      298.107      318.500      170.774
       69        0.364        3.628            0      296.481      315.350      171.133
       70        0.154        3.645            0      298.061      232.700      173.504
       71        0.270        3.624            0      295.970      205.739      172.958
       72        0.225        3.619            0      298.767      210.842      177.010
       73        0.266        3.632            0      297.794      219.891      172.580
       74        0.427        3.650            0      296.736      253.393      171.278
       75        0.162        3.593            0      294.582      230.760      170.457
       76        0.229        3.621            0      296.601      219.087      172.293
       77        0.383        3.657            0      298.425      191.914      176.014
       78        0.200        3.611            0      295.789      206.301      173.142
       79        0.158        3.581            0      293.581      220.200      171.015
       80        0.192        3.628            0      297.259      240.376      173.755
       81        0.192        3.637            0      296.745      251.963      173.596
       82        0.225        3.599            0      295.516      270.685      173.032
       83        0.272        3.632            0      298.454      160.113      172.455
       84        0.301        3.596            0      296.166      155.086      173.292
       85        0.261        3.634            0      295.966      143.468      171.144
       86        0.377        3.656            0      297.570      192.873      174.054
       87        0.145        3.597            0      296.484      200.433      174.326
       88        0.221        3.642            0      298.839      200.113      175.491
       89        0.297        3.657            0      299.398      216.323      174.116
       90        0.215        3.630            0      296.932      238.049      172.384
       91        0.324        3.637            0      298.025      219.091      176.048
       92        0.193        3.602            0      295.559      203.988      171.721
       93        0.204        3.616            0      297.675      238.101      171.777
       94        0.317        3.612            0      294.220      166.871      168.391
       95        0.262        3.617            0      296.903      203.359      175.340
       96        0.256        3.641            0      297.784      207.003      173.763
       97        0.234        3.610            0      298.320      201.233      174.194
       98        0.184        3.613            0      295.378      265.867      168.731
       99        0.271        3.662            0      297.530      212.917      172.323
      100        0.212        3.603            0      295.933      228.015      174.498
      101        0.136        3.604            0      295.224      253.781      171.573
      102        0.344        3.621            0      296.658      247.547      173.102
      103        0.346        3.624            0      294.683      231.249      174.666
      104        0.198        3.642            0      297.862      233.411      176.602
      105        0.208        3.607            0      295.983      245.542      170.936
      106        0.175        3.600            0      294.046      304.243      167.875
      107        0.148        3.597            0      296.257      328.443      168.656
      108        0.242        3.625            0      296.108      272.087      173.483
