   #_Atom# PDBResName  wrt_Protein   wrt_Ligand 
         1                   6.216        0.132
         2                   5.684        0.153
         3                   6.202        0.108
         4                   5.874        0.175
         5                   6.564        0.124
         6                   5.851        0.120
         7                   5.834        0.122
         8                   5.892        0.104
         9                   5.914        0.179
        10                   6.277        0.215
        11                   6.592        0.230
        12                   6.585        0.192
        13                   6.244        0.104
        14                   6.417        0.124
        15                   6.542        0.100
        16                   6.490        0.128
        17                   6.053        0.110
        18                   5.851        0.158
        19                   6.116        0.128
        20                   6.350        0.212
        21                   6.757        0.224
        22                   6.911        0.207
        23                   6.646        0.171
        24                   6.250        0.087
        25                   6.958        0.212
        26                   6.848        0.248
        27                   5.814        0.260
