  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
        0        0.000        4.066            0      298.704      282.098      164.265
        1        0.788        4.000            0      297.607      264.723      168.281
        2        0.922        4.008            0      299.901      300.484      177.493
        3        0.384        4.081            0      299.982      345.342      171.790
        4        0.350        4.027            0      298.412      320.773      167.162
        5        0.340        4.025            0      298.234      278.468      168.897
        6        0.694        4.027            0      299.986      298.979      176.977
        7        0.746        3.949            0      297.186      261.023      169.727
        8        0.682        3.987            0      299.720      275.140      180.377
        9        0.797        3.968            0      298.273      294.790      177.270
       10        0.437        4.038            0      299.298      266.386      175.057
       11        0.793        4.024            0      297.916      331.175      168.782
       12        0.601        3.994            0      297.987      266.431      170.322
       13        0.515        4.031            0      298.126      318.122      173.503
       14        0.697        4.008            0      298.191      345.749      172.088
       15        0.722        3.994            0      298.641      297.343      178.734
       16        0.596        4.036            0      299.711      207.460      170.394
       17        0.860        3.986            0      299.738      107.598      178.900
       18        0.780        4.063            0      301.559      158.822      176.860
       19        0.715        4.016            0      299.616      148.330      175.896
       20        0.939        3.969            0      299.532      211.443      174.831
       21        0.809        4.032            0      300.159      102.352      176.173
       22        0.710        4.011            0      299.759      170.878      174.737
       23        0.539        4.068            0      299.126      164.019      171.544
       24        0.690        3.977            0      298.289      194.653      175.597
       25        0.708        4.011            0      300.507      190.576      172.354
       26        0.806        4.008            0      298.924      153.165      172.366
       27        0.772        4.033            0      299.258      258.780      174.109
       28        0.691        4.015            0      298.987      288.258      173.051
       29        0.705        4.014            0      300.587      289.217      180.655
       30        0.837        3.921            0      296.259      297.676      173.830
       31        0.879        4.002            0      298.943      227.890      174.834
       32        0.426        4.030            0      297.067      257.946      163.793
       33        0.731        3.988            0      298.625      236.012      176.499
       34        0.526        4.038            0      299.229      246.314      168.194
       35        0.728        3.977            0      296.639      228.296      176.572
       36        0.576        4.043            0      299.159      248.597      174.207
       37        0.746        4.030            0      299.031      226.861      173.062
       38        0.689        4.019            0      299.727      185.657      171.886
       39        0.356        4.027            0      297.674      232.163      164.090
       40        0.774        3.989            0      298.787      313.851      175.610
       41        0.886        3.951            0      296.861      349.007      179.047
       42        0.833        3.990            0      297.741      328.481      175.757
       43        0.799        3.989            0      298.459      323.086      177.150
       44        0.891        4.034            0      302.379      448.289      175.288
       45        0.317        4.035            0      298.516      369.051      167.944
       46        0.892        3.990            0      298.710      334.831      171.454
       47        0.765        4.000            0      299.268      258.260      173.312
       48        0.955        4.000            0      300.491      319.052      176.273
       49        0.794        3.948            0      297.932      294.412      177.586
       50        0.610        4.069            0      299.658      284.560      173.274
       51        0.601        4.066            0      299.941      411.539      174.630
       52        0.482        4.039            0      298.345      414.063      171.422
       53        0.856        3.975            0      298.999      339.515      179.204
       54        0.714        4.010            0      299.131      332.455      179.399
       55        0.921        4.012            0      299.375      303.508      177.282
       56        0.786        4.029            0      299.920      309.636      175.605
       57        0.972        3.962            0      300.857      554.353      179.231
       58        0.532        4.024            0      297.975      310.140      173.055
       59        0.805        3.991            0      300.264      300.323      180.543
       60        0.726        3.983            0      297.912      309.551      175.039
       61        0.762        4.003            0      298.457      309.724      175.460
       62        0.799        3.958            0      297.242      318.881      167.674
       63        0.365        4.026            0      296.052      324.087      162.438
       64        0.779        4.029            0      299.133      293.015      172.866
       65        0.739        4.022            0      299.786      321.187      177.899
       66        0.643        4.054            0      299.837      343.380      173.752
       67        0.759        4.037            0      300.899      312.082      174.578
       68        0.695        4.044            0      300.240      309.297      178.460
       69        0.782        3.993            0      299.388      315.085      173.868
       70        0.851        4.003            0      299.472      305.962      177.987
       71        0.858        3.988            0      299.411      552.189      174.257
       72        0.857        3.971            0      300.286      555.550      178.468
       73        0.682        4.028            0      300.809      552.590      179.062
       74        0.836        3.982            0      299.158      315.745      181.134
       75        0.491        4.026            0      298.057      307.718      173.109
       76        1.245        3.930            0      298.679      303.707      173.413
       77        0.670        4.034            0      299.702      321.878      174.848
       78        0.517        4.103            0      301.042      309.349      170.211
       79        0.522        4.055            0      299.715      280.544      169.785
       80        1.059        3.962            0      299.314      242.048      180.041
       81        0.838        3.975            0      297.958      275.264      176.157
       82        1.113        3.853            0      294.006      306.207      178.060
       83        0.813        3.982            0      298.446      303.612      176.107
       84        0.900        3.965            0      298.175      307.585      174.704
       85        0.909        3.970            0      298.458      326.197      176.001
       86        0.788        3.951            0      297.302      307.526      175.163
       87        0.764        4.030            0      298.865      310.379      175.154
       88        0.756        4.012            0      300.224      309.537      178.057
       89        0.506        3.983            0      297.027      314.753      169.197
       90        0.681        3.977            0      297.510      339.253      175.724
       91        0.857        4.039            0      299.667      306.914      174.057
       92        0.581        4.027            0      299.176      342.197      174.486
       93        0.977        3.985            0      298.096      296.068      171.191
       94        0.355        4.014            0      296.291      298.735      162.967
       95        0.852        3.960            0      300.011      341.914      180.641
       96        0.230        4.019            0      296.436      358.476      166.715
       97        0.810        4.042            0      300.155      345.237      173.627
       98        0.951        3.960            0      300.548      319.135      174.898
       99        0.419        4.008            0      296.012      227.052      163.372
      100        0.779        4.032            0      300.034      252.281      179.085
      101        0.731        3.994            0      299.266      228.817      176.477
      102        0.627        4.037            0      300.070      236.913      176.401
      103        0.648        4.037            0      299.815      222.874      173.307
      104        0.570        4.045            0      300.982      236.823      174.835
      105        0.755        3.961            0      297.020      258.950      171.806
      106        0.754        3.984            0      298.626      202.864      170.778
      107        0.700        4.022            0      297.896      206.577      166.847
      108        0.723        4.031            0      300.904      203.667      174.218
      109        0.835        4.013            0      299.052      270.800      173.361
      110        0.470        4.042            0      299.845      246.108      176.852
      111        0.760        3.972            0      297.337      227.144      174.873
      112        0.818        3.967            0      296.632      250.527      173.148
      113        0.717        4.052            0      298.883      248.138      173.198
      114        0.727        4.032            0      298.728      232.094      168.264
      115        0.624        4.075            0      300.685      226.835      172.175
      116        0.802        4.014            0      300.467      207.747      179.816
      117        0.865        3.964            0      299.524      224.813      179.335
      118        0.967        3.964            0      297.866      177.266      173.879
      119        1.002        3.941            0      298.711      180.142      174.714
      120        0.782        3.985            0      297.788      187.700      173.258
      121        0.714        4.057            0      301.155      216.737      174.834
      122        0.917        3.973            0      299.296      190.815      177.709
      123        0.808        4.012            0      299.950      191.129      173.086
      124        0.738        4.007            0      300.183      187.053      175.524
      125        0.920        3.991            0      300.352      145.317      176.795
      126        0.918        3.935            0      296.824      149.774      172.679
      127        0.842        4.009            0      299.861      188.122      175.567
      128        0.598        4.027            0      298.411      169.417      171.936
      129        0.847        4.001            0      298.991      198.284      174.194
      130        0.715        3.998            0      298.933      195.355      175.032
      131        0.641        4.090            0      301.251      168.322      178.558
      132        0.689        4.039            0      298.156      172.291      177.354
      133        0.970        4.040            0      302.082      175.650      176.144
      134        0.574        4.007            0      298.394      171.474      169.357
      135        0.452        4.011            0      298.376      131.451      173.624
      136        0.809        3.964            0      296.896      144.487      175.407
      137        0.956        3.931            0      297.706      133.612      175.226
      138        0.694        3.975            0      296.931      158.368      176.572
      139        0.939        3.981            0      298.643      140.470      175.470
      140        0.607        3.965            0      296.936      139.510      175.399
      141        0.709        4.019            0      297.897      180.780      172.956
      142        0.901        3.992            0      298.422      139.742      174.075
      143        0.884        3.949            0      295.866      136.855      173.371
      144        0.991        4.008            0      299.926      162.278      177.657
      145        0.865        4.020            0      299.543      149.406      178.737
      146        0.376        4.047            0      297.602      154.743      167.890
      147        0.841        4.019            0      300.525      152.836      181.381
      148        0.688        4.040            0      299.393      141.561      165.691
      149        0.975        3.960            0      297.843      152.238      170.199
      150        0.807        3.967            0      298.669      128.806      176.629
      151        0.715        4.037            0      299.941      197.558      173.575
      152        0.829        4.038            0      300.354      196.000      178.762
      153        0.936        3.962            0      297.818      188.950      177.565
      154        0.992        3.929            0      297.211      171.345      176.680
      155        0.811        3.970            0      297.224      164.782      177.105
      156        0.935        4.001            0      297.553      170.128      175.096
      157        0.503        4.036            0      298.042      190.634      170.337
      158        0.837        4.000            0      299.758      176.136      179.116
      159        0.270        3.992            0      295.971      145.579      166.863
      160        0.806        3.997            0      299.380      214.121      178.657
      161        0.574        4.016            0      299.953      154.301      171.111
      162        0.699        4.026            0      297.595      144.528      174.785
      163        0.461        4.031            0      299.579      193.404      175.764
      164        0.559        4.057            0      298.538      148.847      173.956
      165        0.852        4.003            0      298.581      154.596      176.056
      166        0.686        4.011            0      298.160      140.199      173.983
      167        0.870        3.971            0      300.148      167.093      180.478
      168        0.806        4.024            0      298.521      118.160      175.878
      169        0.798        4.001            0      296.818      153.851      174.789
      170        0.769        4.008            0      298.171      111.920      176.101
      171        0.709        3.993            0      297.960      101.366      173.599
      172        0.529        4.036            0      298.621       72.185      169.372
      173        0.810        4.054            0      301.334      104.204      179.698
      174        0.663        4.024            0      298.180      131.344      165.672
      175        1.082        4.011            0      300.488      193.720      178.890
      176        0.757        3.994            0      297.455      141.841      177.585
      177        0.879        3.978            0      300.063      118.908      173.523
      178        0.401        3.981            0      296.356      114.280      169.850
      179        0.584        3.997            0      294.100      127.996      164.281
      180        0.544        3.985            0      296.162      143.167      156.097
      181        0.498        4.025            0      297.144      161.476      159.516
      182        0.384        4.028            0      297.384      119.856      164.270
      183        0.402        4.056            0      300.013       97.648      175.224
      184        1.085        3.933            0      299.415       98.640      179.351
      185        0.824        3.966            0      300.007      110.741      180.572
      186        0.965        3.928            0      298.991      118.205      175.855
      187        0.898        3.993            0      299.879      109.718      179.652
      188        0.679        4.042            0      299.881      135.928      172.826
      189        0.853        4.011            0      298.257      131.589      178.480
      190        0.973        3.921            0      297.995      114.534      176.036
      191        0.891        3.997            0      299.075      127.484      179.932
      192        0.858        3.935            0      297.894      124.908      176.830
      193        0.925        4.003            0      299.728      127.191      178.097
      194        0.913        3.978            0      298.287      134.260      176.087
      195        0.775        3.967            0      298.222       91.138      178.113
      196        0.725        4.063            0      301.572      115.217      171.878
      197        0.807        4.006            0      297.328       99.792      172.800
      198        0.649        3.992            0      296.791      129.340      173.178
      199        0.949        3.981            0      299.096      124.852      180.529
      200        0.678        4.012            0      298.033      119.858      167.532
      201        0.862        3.960            0      297.928      115.267      177.584
      202        0.888        3.976            0      298.340      125.974      175.587
      203        0.701        4.018            0      299.389      114.725      175.114
      204        0.994        3.942            0      299.306       86.025      177.306
      205        0.889        3.992            0      300.943      121.950      181.150
      206        0.916        3.989            0      298.107      166.571      176.676
      207        0.849        4.006            0      300.323      177.768      176.504
      208        1.055        3.962            0      298.771      105.454      177.670
      209        0.932        3.964            0      298.979      133.362      177.499
      210        0.872        4.003            0      300.017      133.269      177.142
      211        0.651        4.031            0      298.685      137.015      176.436
      212        0.791        4.001            0      298.847      134.085      178.622
      213        0.782        3.979            0      297.910      122.536      176.925
      214        0.731        3.960            0      297.266      124.388      174.134
      215        0.761        4.000            0      299.117      108.427      174.632
      216        0.663        3.996            0      298.147      130.009      176.269
      217        0.703        4.003            0      296.885      154.715      171.395
      218        0.799        4.014            0      299.144      170.105      172.768
      219        0.562        3.992            0      296.928      167.531      167.800
      220        0.665        4.040            0      298.096      172.546      173.603
      221        0.789        3.968            0      296.752      181.780      168.089
      222        0.789        3.994            0      299.922      181.508      175.492
      223        0.738        4.042            0      301.306      147.920      181.418
      224        0.828        4.024            0      299.413      180.573      174.763
      225        0.342        4.028            0      300.044      179.005      172.891
      226        0.807        4.008            0      300.064      141.390      176.690
      227        0.934        3.974            0      299.135      164.074      172.728
      228        0.797        4.000            0      300.402      133.756      177.508
      229        0.691        4.049            0      300.054      168.057      175.130
      230        0.858        3.995            0      300.111      152.463      174.460
      231        0.907        4.036            0      299.798      148.826      180.941
      232        0.716        4.044            0      299.766      165.873      170.855
      233        0.737        4.001            0      296.331      149.411      166.124
      234        0.788        3.998            0      298.674      155.786      179.466
      235        0.799        3.948            0      297.863      163.114      175.798
      236        0.219        4.038            0      298.714      171.560      169.468
      237        0.282        4.010            0      295.619      196.326      166.385
      238        0.482        3.991            0      298.009      151.216      173.391
      239        0.777        3.973            0      299.820      177.805      171.227
      240        1.059        3.915            0      296.492      169.309      176.573
      241        1.075        3.938            0      297.530      138.568      177.386
      242        0.676        4.019            0      299.453      155.509      171.487
      243        0.688        4.010            0      298.583      125.899      178.292
      244        0.869        3.980            0      298.774      125.087      175.816
      245        0.626        4.018            0      299.240      145.312      174.566
      246        0.770        4.000            0      299.002      149.871      173.496
      247        0.788        4.001            0      299.331      120.467      170.614
      248        0.794        3.961            0      298.399      134.258      171.535
      249        0.713        3.999            0      297.802      138.883      171.211
      250        0.488        4.004            0      298.605      131.439      160.777
      251        0.759        3.997            0      299.070      108.352      176.235
      252        0.540        4.070            0      300.278      141.329      171.951
      253        0.329        4.031            0      296.066      124.416      168.358
      254        0.447        4.077            0      299.789      170.219      170.337
      255        0.748        3.986            0      299.407      118.518      178.533
      256        0.689        4.022            0      299.422      114.610      178.627
      257        0.602        4.060            0      300.366      124.605      171.376
      258        0.306        4.023            0      296.589      148.054      159.789
      259        0.519        4.003            0      297.549      139.368      170.911
      260        0.757        3.992            0      296.832      138.672      170.064
      261        0.673        4.021            0      298.119      124.010      174.332
      262        0.553        4.044            0      300.390      136.993      172.575
      263        0.785        3.988            0      297.221      139.996      169.704
      264        0.866        3.972            0      297.314      142.527      180.225
      265        0.508        4.107            0      300.993      131.697      170.631
      266        0.788        3.992            0      300.019      115.681      172.230
      267        0.758        4.006            0      297.480      183.907      164.354
      268        0.840        3.979            0      299.820      123.986      174.542
      269        0.475        4.015            0      297.279      116.582      173.723
      270        0.921        3.996            0      297.837      155.791      173.053
      271        0.683        4.012            0      299.015      124.163      174.337
      272        0.854        3.982            0      300.406      137.788      174.012
      273        0.758        4.004            0      298.746      116.763      173.376
      274        0.756        3.994            0      298.976      141.525      173.438
      275        0.760        3.991            0      299.733      138.499      177.722
      276        0.673        4.047            0      299.530      192.393      176.677
      277        0.686        4.045            0      300.232      150.149      173.519
      278        0.680        4.036            0      298.997      120.081      172.524
      279        0.572        4.042            0      299.743      131.909      168.893
      280        0.823        3.984            0      298.774      151.077      179.329
      281        0.740        3.999            0      298.834      157.103      174.573
      282        0.596        4.050            0      299.285      171.992      168.502
      283        0.711        4.005            0      298.133      153.133      173.251
      284        0.698        4.010            0      299.958      162.697      175.840
      285        0.421        4.034            0      297.856      127.702      171.168
      286        0.538        3.963            0      296.765      163.682      176.220
      287        0.393        4.027            0      297.922      143.878      168.960
      288        0.384        4.023            0      299.270      142.537      172.856
      289        0.549        4.005            0      297.581      153.358      170.654
      290        0.892        4.015            0      300.970      159.980      174.847
      291        0.763        4.009            0      297.448      177.597      170.432
      292        0.592        4.001            0      296.992      159.526      170.427
      293        0.665        4.051            0      300.657      167.204      178.454
      294        0.432        4.040            0      298.046      154.696      170.198
