   #_Atom# PDBResName  wrt_Protein   wrt_Ligand 
         1                   8.220        0.360
         2                   8.183        0.282
         3                   8.647        0.464
         4                   8.494        0.267
         5                   8.104        0.215
         6                   7.933        0.427
         7                   8.053        0.315
         8                   8.374        0.338
         9                   7.904        0.224
        10                   7.777        0.399
        11                   7.600        0.468
        12                   7.546        0.480
        13                   7.638        0.372
        14                   7.825        0.138
        15                   8.458        0.481
        16                   8.566        0.211
        17                   8.840        0.335
        18                   8.881        0.422
        19                   8.684        0.512
        20                   8.418        0.425
        21                   8.337        0.157
        22                   8.135        0.212
        23                   8.884        0.372
        24                   8.503        0.262
        25                   8.750        0.547
        26                   8.047        0.432
