NatID,SMILES
1,C=C1C(=O)O[C@H]2[C@H]1CCC(C)=C1C(=O)C=C(C)[C@@H]12
2,C=C1C(=O)O[C@H]2C[C@@H](C)[C@@H]3C=CC(=O)[C@@]3(C)[C@H](O)[C@H]12
3,CC1=CC(=O)C2=C(C)CC[C@H]3[C@H](C)C(=O)O[C@@H]3[C@@H]12
4,C=C1C(=O)O[C@H]2[C@H]1CCC(C)=C1C[C@H]3O[C@@]3(C)[C@@H]12
7,C=C1C(=O)O[C@@H]2[C@H]1CC[C@H](C)[C@@]1(O)C=CC(=O)[C@@]21C
9,C[C@@H]1[C@H]2C3=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2(C(=O)O)CC[C@H]1C
10,O=C(C=Cc1ccc(O)c(O)c1)O[C@]1(C(=O)O)C[C@@H](O)[C@H](O)[C@H](O)C1
11,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O
15,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2
17,C=C1C[C@@]23CC[C@H]4[C@](C)(C(=O)O)CCC[C@@]4(C)C2=C[C@@H](OCC)[C@@H]1C3
18,C=C1C(=O)O[C@@H]2C=C(C)[C@@H](O)C[C@H]3O[C@]3(C)C[C@@H](OC(=O)[C@@H](C)CC)[C@@H]12
20,C=C1C(=O)O[C@H]2[C@H]1CCC(=C)[C@H]1CC=C(CO)[C@@H]12
21,C=C[C@@](C)(O)CC[C@@]1(C)[C@H](C)CC[C@]2(C)[C@@H]1CC[C@@H](O)[C@]2(C)O
24,C=C1C(=O)O[C@@H]2C=C(CO)[C@@]3(O)C[C@H](O)[C@@](C)(C[C@@H](OC(=O)[C@H](C)CC)[C@@H]12)O3
25,C=C1C(=O)O[C@@H]2C=C(CO)[C@@]3(O)CC[C@](C)(C[C@@H](OC(=O)[C@H](C)CC)[C@@H]12)O3
26,C=C1C(=O)O[C@@H]2C[C@@H](C)CCC=C(C)C[C@@H](O)[C@@H]12
28,C=C1C(=O)O[C@@H]2C=C(CO)[C@@]3(O)C[C@H](O)[C@@](C)(C[C@@H](OC(=O)C(C)=CC)[C@@H]12)O3
29,CC(=O)[C@H]1CC[C@@H]2[C@@H]1[C@H](C(C)C)CCC[C@@]2(C)O
30,C=C1C(=O)O[C@@H]2C[C@H](C)C(CCC(C)=O)=CC[C@H]12
31,C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)O)[C@@H]2CC[C@@H]1C3
